XDAC V1.4 Datafile V1
"srmndead.006" created on 2/6/09 at 10:38:38 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 6539.00
NUM_REGIONS= 3
SRB= -50 -10 30 100
SRSS= 1 .3 1
SPP= 1 1 1
Settling time= 0.10


Offsets= 120.90 86.30 0.00 0.00 1.00 0.00 1.00 1.00 2.00 1.00 1.00 1.00 1.00 1.00
Gains= 8.00 9.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00



--------------------------------------------------------------------------------
        Energy            I0            It          If20          If21          If22          If23          If24          If25          If26          If27          If30          If31          If32          If33
    6516.00075    12313.1000      838.7000     3845.0000     4318.0000     1835.0000     2469.0000    36913.0000    40610.0000    32692.0000    31672.0000    37386.0000    42295.0000    33039.0000    32035.0000
    6517.00024    12319.1000      839.7000     3945.0000     4259.0000     1854.0000     2540.0000    37168.0000    40524.0000    33006.0000    31998.0000    37627.0000    42273.0000    33406.0000    32353.0000
    6517.99996    12327.1000      841.7000     4094.0000     4501.0000     1919.0000     2589.0000    37285.0000    40686.0000    33168.0000    32094.0000    37754.0000    42408.0000    33507.0000    32460.0000
    6518.99991    12336.1000      842.7000     4305.0000     4508.0000     2063.0000     2582.0000    37707.0000    40841.0000    33255.0000    31935.0000    38183.0000    42514.0000    33653.0000    32296.0000
    6520.00009    12345.1000      844.7000     4246.0000     4611.0000     2003.0000     2714.0000    37653.0000    41378.0000    33238.0000    32443.0000    38160.0000    43171.0000    33587.0000    32807.0000
    6521.00050    12350.1000      845.7000     4301.0000     4812.0000     2162.0000     2736.0000    37824.0000    41313.0000    33375.0000    32282.0000    38255.0000    43005.0000    33741.0000    32689.0000
    6522.00114    12356.1000      846.7000     4682.0000     4813.0000     2202.0000     2832.0000    38237.0000    41398.0000    33324.0000    32114.0000    38727.0000    43108.0000    33663.0000    32500.0000
    6523.00201    12364.1000      847.7000     4848.0000     5030.0000     2281.0000     2852.0000    38169.0000    41832.0000    33630.0000    32259.0000    38700.0000    43517.0000    34019.0000    32630.0000
    6523.99899    12367.1000      849.7000     4968.0000     5149.0000     2385.0000     3098.0000    38393.0000    42091.0000    33992.0000    32668.0000    38915.0000    43921.0000    34399.0000    33064.0000
    6525.00032    12378.1000      850.7000     5112.0000     5457.0000     2407.0000     3072.0000    38654.0000    42311.0000    33856.0000    32857.0000    39167.0000    44133.0000    34210.0000    33200.0000
    6526.00188    12388.1000      852.7000     5452.0000     5595.0000     2638.0000     3228.0000    39091.0000    42652.0000    34218.0000    32983.0000    39659.0000    44503.0000    34605.0000    33356.0000
    6526.99955    12395.1000      852.7000     5661.0000     6011.0000     2770.0000     3266.0000    39375.0000    42668.0000    34355.0000    32812.0000    39938.0000    44395.0000    34748.0000    33236.0000
    6528.00156    12401.1000      854.7000     5801.0000     6006.0000     2866.0000     3461.0000    40089.0000    42976.0000    34395.0000    33188.0000    40646.0000    44811.0000    34786.0000    33582.0000
    6528.99968    12405.1000      855.7000     6179.0000     6335.0000     2999.0000     3753.0000    40233.0000    43044.0000    34631.0000    33679.0000    40858.0000    44868.0000    35018.0000    34125.0000
    6529.30082    12404.1000      855.7000     6143.0000     6243.0000     3001.0000     3732.0000    40456.0000    43385.0000    34832.0000    33498.0000    41031.0000    45206.0000    35234.0000    33926.0000
    6529.60197    12403.1000      855.7000     6405.0000     6481.0000     3061.0000     3813.0000    40575.0000    43382.0000    34853.0000    33771.0000    41143.0000    45187.0000    35263.0000    34196.0000
    6529.89901    12405.1000      855.7000     6337.0000     6475.0000     3074.0000     3839.0000    40397.0000    43281.0000    34774.0000    33840.0000    41016.0000    45179.0000    35190.0000    34272.0000
    6530.20021    12406.1000      855.7000     6441.0000     6666.0000     3178.0000     3957.0000    40501.0000    43428.0000    34949.0000    33892.0000    41102.0000    45255.0000    35319.0000    34315.0000
    6530.50142    12407.1000      856.7000     6574.0000     6700.0000     3152.0000     3983.0000    40638.0000    43609.0000    34879.0000    34037.0000    41277.0000    45463.0000    35280.0000    34427.0000
    6530.79853    12406.1000      856.7000     6792.0000     6961.0000     3204.0000     4061.0000    40960.0000    43592.0000    35113.0000    34055.0000    41565.0000    45500.0000    35498.0000    34525.0000
    6531.09978    12398.1000      855.7000     6844.0000     7029.0000     3405.0000     4129.0000    41244.0000    44274.0000    35494.0000    33979.0000    41915.0000    46220.0000    35966.0000    34423.0000
    6531.40106    12387.1000      853.7000     6884.0000     6864.0000     3302.0000     4166.0000    41386.0000    43944.0000    35244.0000    34275.0000    41930.0000    45845.0000    35613.0000    34694.0000
    6531.69823    12330.1000      847.7000     6952.0000     6998.0000     3404.0000     4147.0000    41356.0000    44012.0000    34861.0000    34264.0000    42032.0000    45977.0000    35268.0000    34687.0000
    6531.99954    12286.1000      840.7000     7139.0000     7168.0000     3461.0000     4386.0000    41967.0000    44101.0000    34885.0000    34521.0000    42639.0000    46085.0000    35318.0000    34985.0000
    6532.30088    12281.1000      840.7000     7243.0000     7280.0000     3452.0000     4232.0000    41934.0000    44236.0000    35137.0000    34377.0000    42598.0000    46150.0000    35554.0000    34796.0000
    6532.59811    12293.1000      853.7000     7426.0000     7511.0000     3488.0000     4428.0000    41969.0000    44628.0000    35024.0000    34702.0000    42667.0000    46597.0000    35417.0000    35129.0000
    6532.89949    12313.1000      863.7000     7432.0000     7546.0000     3675.0000     4371.0000    42337.0000    44397.0000    35281.0000    34533.0000    43005.0000    46428.0000    35695.0000    34943.0000
    6533.20089    12354.1000      861.7000     7758.0000     7810.0000     3705.0000     4448.0000    42151.0000    45545.0000    35310.0000    35008.0000    42863.0000    47507.0000    35733.0000    35438.0000
    6533.49818    12435.1000      862.7000     7814.0000     8064.0000     3906.0000     4619.0000    42347.0000    45935.0000    36572.0000    34580.0000    42980.0000    48053.0000    37013.0000    34999.0000
    6533.79962    12480.1000      861.7000     7982.0000     8138.0000     4052.0000     4725.0000    42383.0000    46517.0000    36620.0000    34545.0000    43078.0000    48635.0000    37051.0000    35015.0000
    6534.10108    12487.1000      863.7000     8366.0000     8324.0000     4147.0000     4860.0000    43011.0000    46117.0000    36592.0000    34945.0000    43719.0000    48160.0000    37056.0000    35447.0000
    6534.39843    12477.1000      862.7000     8446.0000     8643.0000     4109.0000     4975.0000    43226.0000    46628.0000    36481.0000    35061.0000    43906.0000    48738.0000    36965.0000    35532.0000
    6534.69994    12477.1000      863.7000     8836.0000     8667.0000     4326.0000     5109.0000    43096.0000    46243.0000    36559.0000    35102.0000    43778.0000    48393.0000    36978.0000    35531.0000
    6535.00146    12473.1000      862.7000     8873.0000     8824.0000     4367.0000     5195.0000    43699.0000    46656.0000    36775.0000    35293.0000    44427.0000    48708.0000    37250.0000    35739.0000
    6535.29887    12476.1000      862.7000     9151.0000     9142.0000     4504.0000     5326.0000    43858.0000    46924.0000    37008.0000    35613.0000    44602.0000    49027.0000    37472.0000    36071.0000
    6535.60044    12475.1000      863.7000     9317.0000     9303.0000     4552.0000     5516.0000    44035.0000    47299.0000    36930.0000    35939.0000    44862.0000    49356.0000    37419.0000    36448.0000
    6535.90202    12475.1000      863.7000     9574.0000     9577.0000     4600.0000     5539.0000    44177.0000    47460.0000    36998.0000    36078.0000    44854.0000    49712.0000    37453.0000    36586.0000
    6536.19949    12476.1000      863.7000    10037.0000     9821.0000     4837.0000     5962.0000    44767.0000    47903.0000    37299.0000    36141.0000    45498.0000    50172.0000    37789.0000    36615.0000
    6536.50112    12475.1000      863.7000    10219.0000    10183.0000     5000.0000     5931.0000    45105.0000    48028.0000    37392.0000    36229.0000    45837.0000    50155.0000    37872.0000    36762.0000
    6536.79863    12477.1000      863.7000    10397.0000    10345.0000     5194.0000     6185.0000    45232.0000    48519.0000    37877.0000    36597.0000    46038.0000    50777.0000    38398.0000    37136.0000
    6537.10030    12481.1000      863.7000    10856.0000    10391.0000     5266.0000     6236.0000    45341.0000    48886.0000    37816.0000    36706.0000    46113.0000    51134.0000    38296.0000    37200.0000
    6537.40199    12482.1000      863.7000    11246.0000    10914.0000     5564.0000     6425.0000    46467.0000    49060.0000    38304.0000    36944.0000    47282.0000    51253.0000    38795.0000    37487.0000
    6537.69956    12481.1000      863.7000    11584.0000    11391.0000     5719.0000     6647.0000    46474.0000    49395.0000    38560.0000    37232.0000    47286.0000    51627.0000    39070.0000    37760.0000
    6538.00129    12483.1000      862.7000    12430.0000    11970.0000     6118.0000     7127.0000    47761.0000    50560.0000    38798.0000    37914.0000    48637.0000    52901.0000    39336.0000    38489.0000
    6538.29891    12486.1000      862.7000    12969.0000    12805.0000     6343.0000     7553.0000    48781.0000    51279.0000    39290.0000    38322.0000    49759.0000    53710.0000    39822.0000    38905.0000
    6538.60068    12486.1000      861.7000    14154.0000    13826.0000     7000.0000     8388.0000    49532.0000    52210.0000    39820.0000    39400.0000    50518.0000    54691.0000    40365.0000    40008.0000
    6538.89833    12487.1000      861.7000    15152.0000    14705.0000     7467.0000     8559.0000    50643.0000    53821.0000    40624.0000    39516.0000    51656.0000    56452.0000    41199.0000    40167.0000
    6539.20015    12492.1000      860.7000    16448.0000    15599.0000     8033.0000     9302.0000    52217.0000    54514.0000    41110.0000    40423.0000    53320.0000    57104.0000    41716.0000    41070.0000
    6539.50198    12484.1000      856.7000    18563.0000    17636.0000     9151.0000    10678.0000    54585.0000    56723.0000    42527.0000    41735.0000    55824.0000    59627.0000    43147.0000    42522.0000
    6539.79969    12477.1000      853.7000    21890.0000    20840.0000    10768.0000    12371.0000    58681.0000    60911.0000    44248.0000    43764.0000    60165.0000    64026.0000    44953.0000    44592.0000
    6540.10157    12494.1000      848.7000    26582.0000    25295.0000    13322.0000    15176.0000    64480.0000    66095.0000    47271.0000    46836.0000    66232.0000    69622.0000    48098.0000    47855.0000
    6540.39933    12497.1000      838.7000    35933.0000    33632.0000    17877.0000    20565.0000    75007.0000    75524.0000    52860.0000    53307.0000    77540.0000    79918.0000    53897.0000    54657.0000
    6540.70124    12497.1000      830.7000    42964.0000    41217.0000    21792.0000    24926.0000    83580.0000    84308.0000    57222.0000    58648.0000    86618.0000    89579.0000    58481.0000    60291.0000
    6540.99904    12495.1000      821.7000    50372.0000    47827.0000    25538.0000    29311.0000    91938.0000    92154.0000    61670.0000    63869.0000    95798.0000    98349.0000    63107.0000    65851.0000
    6541.30099    12503.1000      818.7000    54167.0000    50286.0000    27767.0000    31056.0000    96262.0000    95134.0000    64441.0000    65411.0000   100421.0000   101672.0000    66065.0000    67431.0000
    6541.59883    12490.1000      818.7000    52964.0000    49934.0000    27105.0000    30955.0000    95567.0000    94872.0000    63475.0000    65513.0000    99682.0000   101191.0000    64963.0000    67654.0000
    6541.90083    12482.1000      818.7000    53373.0000    50630.0000    26997.0000    31009.0000    95368.0000    95233.0000    63433.0000    65556.0000    99552.0000   101698.0000    64992.0000    67566.0000
    6542.19871    12499.1000      815.7000    57150.0000    53855.0000    29308.0000    33031.0000    99825.0000    99108.0000    65959.0000    67861.0000   104358.0000   105951.0000    67645.0000    70067.0000
    6542.50074    12499.1000      810.7000    61173.0000    57784.0000    31376.0000    35603.0000   104116.0000   103425.0000    68582.0000    71024.0000   109130.0000   110924.0000    70403.0000    73365.0000
    6542.79866    12498.1000      807.7000    62934.0000    59721.0000    32582.0000    37057.0000   107035.0000   105698.0000    69646.0000    72668.0000   112378.0000   113560.0000    71586.0000    75192.0000
    6543.10074    12495.1000      805.7000    64756.0000    62144.0000    33618.0000    38518.0000   109483.0000   108568.0000    71091.0000    74575.0000   115115.0000   116464.0000    73051.0000    77308.0000
    6543.39870    12477.1000      802.7000    65533.0000    62860.0000    34226.0000    38417.0000   110210.0000   109399.0000    71581.0000    74357.0000   115791.0000   117649.0000    73531.0000    77073.0000
    6543.70082    12414.1000      796.7000    65240.0000    61266.0000    33623.0000    37823.0000   109044.0000   107815.0000    71204.0000    73756.0000   114708.0000   115965.0000    73239.0000    76318.0000
    6543.99882    12345.1000      790.7000    62742.0000    59051.0000    32504.0000    37014.0000   106093.0000   105149.0000    69922.0000    72267.0000   111482.0000   112865.0000    71802.0000    74804.0000
    6544.30098    12331.1000      790.7000    60380.0000    57354.0000    31514.0000    35928.0000   103621.0000   102855.0000    68913.0000    70784.0000   108671.0000   110330.0000    70836.0000    73185.0000
    6544.59902    12348.1000      803.7000    59437.0000    56442.0000    30538.0000    34559.0000   102351.0000   101839.0000    67106.0000    69506.0000   107182.0000   109134.0000    68858.0000    71799.0000
