XDAC V1.4 Datafile V1
"srmndead.006" created on 2/6/09 at 10:38:38 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 6539.00
NUM_REGIONS= 3
SRB= -50 -10 30 100
SRSS= 1 .3 1
SPP= 1 1 1
Settling time= 0.10


Offsets= 120.90 86.30 0.00 0.00 1.00 0.00 1.00 1.00 2.00 1.00 1.00 1.00 1.00 1.00
Gains= 8.00 9.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00 8.00



--------------------------------------------------------------------------------
        Energy            I0            It          If20          If21          If22          If23          If24          If25          If26          If27          If30          If31          If32          If33
    6558.99923    12626.1000      270.7000   344163.0000   344029.0000   255328.0000   282731.0000   459388.0000   453663.0000   349702.0000   372523.0000   707201.0000   674327.0000   431267.0000   478170.0000
    6559.29826    12627.1000      275.7000   342483.0000   341501.0000   254531.0000   281129.0000   457920.0000   451594.0000   348159.0000   370231.0000   700808.0000   668909.0000   428427.0000   474326.0000
    6559.60147    12628.1000      281.7000   342254.0000   339628.0000   252234.0000   277947.0000   456101.0000   449535.0000   344911.0000   367343.0000   693712.0000   660989.0000   422920.0000   468862.0000
    6559.90054    12631.1000      289.7000   339822.0000   339430.0000   249369.0000   275270.0000   453475.0000   447177.0000   341352.0000   363820.0000   683827.0000   653912.0000   416950.0000   461466.0000
    6560.19963    12632.1000      296.7000   338042.0000   336307.0000   246340.0000   272647.0000   450948.0000   443680.0000   338080.0000   360001.0000   675986.0000   644490.0000   410614.0000   455437.0000
    6560.49874    12636.1000      304.7000   336662.0000   335037.0000   243690.0000   269387.0000   448201.0000   440781.0000   334381.0000   355416.0000   668006.0000   636774.0000   404730.0000   447542.0000
    6560.80203    12635.1000      308.7000   335065.0000   333051.0000   242447.0000   266751.0000   446994.0000   439271.0000   332059.0000   353590.0000   662118.0000   630907.0000   400703.0000   443330.0000
    6561.10118    12637.1000      311.7000   335050.0000   331691.0000   240830.0000   266238.0000   445533.0000   437917.0000   330385.0000   352292.0000   658253.0000   627931.0000   398484.0000   440974.0000
    6561.40035    12640.1000      313.7000   334224.0000   332363.0000   239762.0000   265024.0000   445002.0000   437946.0000   329691.0000   350154.0000   655698.0000   626829.0000   397260.0000   438573.0000
    6561.69954    12643.1000      315.7000   334709.0000   331091.0000   239945.0000   264560.0000   444849.0000   437078.0000   328284.0000   350777.0000   655543.0000   625355.0000   395428.0000   439017.0000
    6561.99875    12648.1000      316.7000   334105.0000   331437.0000   239177.0000   264979.0000   444972.0000   436298.0000   328732.0000   350595.0000   654215.0000   625030.0000   395585.0000   438766.0000
    6562.29798    12646.1000      318.7000   332494.0000   331500.0000   239222.0000   264662.0000   443879.0000   436657.0000   328054.0000   349729.0000   651845.0000   624935.0000   394817.0000   437589.0000
    6562.60139    12648.1000      319.7000   332829.0000   330191.0000   237865.0000   263628.0000   443655.0000   435146.0000   326737.0000   348742.0000   650258.0000   621422.0000   392758.0000   436149.0000
    6562.90066    12650.1000      321.7000   333000.0000   329564.0000   237783.0000   263392.0000   443177.0000   435020.0000   326253.0000   347838.0000   650796.0000   620026.0000   391938.0000   434835.0000
    6563.19995    12654.1000      321.7000   332315.0000   329756.0000   237469.0000   263023.0000   442406.0000   434429.0000   326260.0000   347893.0000   648537.0000   619703.0000   391911.0000   434448.0000
    6563.49926    12656.1000      322.7000   332513.0000   330006.0000   238160.0000   262824.0000   442710.0000   434981.0000   325913.0000   347870.0000   649911.0000   619960.0000   391884.0000   434221.0000
    6563.79859    12658.1000      320.7000   332617.0000   329596.0000   238405.0000   263326.0000   444118.0000   434783.0000   326402.0000   348783.0000   652649.0000   621764.0000   392858.0000   435815.0000
    6564.09795    12660.1000      318.7000   333418.0000   330725.0000   239562.0000   264211.0000   443802.0000   436513.0000   328048.0000   349693.0000   652949.0000   624705.0000   395305.0000   437327.0000
    6564.40148    12661.1000      314.7000   334316.0000   332653.0000   241140.0000   265824.0000   446119.0000   438480.0000   330159.0000   351535.0000   658363.0000   629072.0000   398483.0000   440556.0000
    6564.70087    12660.1000      312.7000   334724.0000   333076.0000   241723.0000   266729.0000   446932.0000   439317.0000   331583.0000   352979.0000   662316.0000   632625.0000   400455.0000   443391.0000
    6565.00028    12663.1000      308.7000   336628.0000   334460.0000   243121.0000   268902.0000   448354.0000   441117.0000   333491.0000   355629.0000   666030.0000   636370.0000   404091.0000   447165.0000
    6565.29971    12667.1000      306.7000   336760.0000   335272.0000   243809.0000   269784.0000   448682.0000   442209.0000   334181.0000   356820.0000   669555.0000   640252.0000   405163.0000   449666.0000
    6565.59916    12669.1000      302.7000   337351.0000   336169.0000   245451.0000   271055.0000   450421.0000   443504.0000   336124.0000   358459.0000   673212.0000   642906.0000   408312.0000   452702.0000
    6565.89864    12671.1000      301.7000   338132.0000   336818.0000   246276.0000   272035.0000   451435.0000   444348.0000   337704.0000   359424.0000   676516.0000   645297.0000   410612.0000   454501.0000
    6566.19813    12676.1000      300.7000   338702.0000   337203.0000   247305.0000   272316.0000   451852.0000   444140.0000   338597.0000   360327.0000   678003.0000   646940.0000   412054.0000   455105.0000
    6566.50180    12670.1000      300.7000   338060.0000   337812.0000   247133.0000   272386.0000   451283.0000   444950.0000   338280.0000   359751.0000   677469.0000   647855.0000   412004.0000   454819.0000
    6566.80133    12667.1000      301.7000   337939.0000   335969.0000   246895.0000   271686.0000   450296.0000   444072.0000   338312.0000   359783.0000   676461.0000   645196.0000   411374.0000   455098.0000
    6567.10089    12682.1000      302.7000   338538.0000   336451.0000   246990.0000   272573.0000   451730.0000   443920.0000   338204.0000   359549.0000   677364.0000   645338.0000   410962.0000   455063.0000
    6567.40046    12683.1000      303.7000   337340.0000   337663.0000   246089.0000   271797.0000   450796.0000   444491.0000   337547.0000   359357.0000   674681.0000   645989.0000   410375.0000   454526.0000
    6567.70005    12684.1000      304.7000   338090.0000   336199.0000   246439.0000   271288.0000   451170.0000   443167.0000   337305.0000   358752.0000   675200.0000   643592.0000   409466.0000   453530.0000
    6567.99966    12686.1000      304.7000   338016.0000   336123.0000   245749.0000   271346.0000   450396.0000   442809.0000   336946.0000   358801.0000   674108.0000   642943.0000   409068.0000   452933.0000
    6568.29930    12689.1000      306.7000   337298.0000   335619.0000   244861.0000   270373.0000   449907.0000   442830.0000   335664.0000   358036.0000   672742.0000   642457.0000   407396.0000   451972.0000
    6568.59895    12689.1000      307.7000   337783.0000   335742.0000   245008.0000   270900.0000   449878.0000   442717.0000   335714.0000   358063.0000   672247.0000   642931.0000   407897.0000   451598.0000
    6568.99852    12688.1000      307.7000   338254.0000   335583.0000   244445.0000   270578.0000   449903.0000   442985.0000   335770.0000   357579.0000   673088.0000   641350.0000   407056.0000   451020.0000
    6570.00176    12699.1000      308.7000   337611.0000   335267.0000   245369.0000   271027.0000   450101.0000   442197.0000   336290.0000   357849.0000   672234.0000   640917.0000   407274.0000   451824.0000
    6571.00106    12706.1000      311.7000   336837.0000   335083.0000   244451.0000   270634.0000   449713.0000   441780.0000   335237.0000   357268.0000   670056.0000   640404.0000   406240.0000   450605.0000
    6572.00058    12712.1000      317.7000   336745.0000   334140.0000   241932.0000   268127.0000   448283.0000   440272.0000   332282.0000   353944.0000   665557.0000   634514.0000   401990.0000   445239.0000
    6573.00032    12720.1000      325.7000   333913.0000   331777.0000   239712.0000   264790.0000   445171.0000   437621.0000   329294.0000   350126.0000   657642.0000   626667.0000   396672.0000   438871.0000
    6574.00029    12730.1000      335.7000   332162.0000   328380.0000   236255.0000   262258.0000   442254.0000   433671.0000   325048.0000   347075.0000   646792.0000   616635.0000   390007.0000   432825.0000
    6575.00048    12734.1000      344.7000   329348.0000   325962.0000   234660.0000   258579.0000   438493.0000   430186.0000   322068.0000   342467.0000   637220.0000   608855.0000   384996.0000   424596.0000
    6576.00089    12742.1000      350.7000   328470.0000   323914.0000   231581.0000   256375.0000   436903.0000   428012.0000   318376.0000   339416.0000   632444.0000   602619.0000   379569.0000   419862.0000
    6577.00153    12748.1000      354.7000   327446.0000   323808.0000   230813.0000   255192.0000   435672.0000   427546.0000   317065.0000   338015.0000   628076.0000   601115.0000   377466.0000   418097.0000
    6577.99821    12756.1000      357.7000   327406.0000   323299.0000   229189.0000   254542.0000   435690.0000   426296.0000   315228.0000   337884.0000   627183.0000   598311.0000   374755.0000   416855.0000
    6578.99929    12763.1000      361.7000   326352.0000   321894.0000   229054.0000   253744.0000   434641.0000   425543.0000   314724.0000   336641.0000   624726.0000   596254.0000   374124.0000   415302.0000
    6580.00059    12772.1000      365.7000   325217.0000   322672.0000   227796.0000   251876.0000   432851.0000   425291.0000   313230.0000   334652.0000   620629.0000   594122.0000   371653.0000   411573.0000
    6580.99793    12782.1000      369.7000   324854.0000   319834.0000   226430.0000   251385.0000   431940.0000   423093.0000   311374.0000   333703.0000   617506.0000   589960.0000   368835.0000   410074.0000
    6581.99968    12788.1000      375.7000   323402.0000   319094.0000   224732.0000   249717.0000   429531.0000   421035.0000   309433.0000   330855.0000   611398.0000   585038.0000   365835.0000   406223.0000
    6583.00164    12795.1000      383.7000   322653.0000   316060.0000   221673.0000   245373.0000   427625.0000   417055.0000   305434.0000   325876.0000   605629.0000   576222.0000   360083.0000   399377.0000
    6583.99965    12805.1000      392.7000   318878.0000   314810.0000   219063.0000   242272.0000   424258.0000   414520.0000   302013.0000   322040.0000   597268.0000   570630.0000   354711.0000   392343.0000
    6585.00206    12811.1000      401.7000   316190.0000   310506.0000   215350.0000   239805.0000   420639.0000   409970.0000   297401.0000   319122.0000   587068.0000   560625.0000   347993.0000   386677.0000
    6586.00051    12815.1000      410.7000   313764.0000   308715.0000   213331.0000   235608.0000   417447.0000   407421.0000   294621.0000   314045.0000   579180.0000   553276.0000   344008.0000   379988.0000
    6586.99918    12826.1000      418.7000   312303.0000   305000.0000   210826.0000   233683.0000   414595.0000   403360.0000   291421.0000   310664.0000   572791.0000   546060.0000   339441.0000   374680.0000
    6587.99807    12832.1000      426.7000   310407.0000   303401.0000   207737.0000   230971.0000   411597.0000   401169.0000   288074.0000   308304.0000   566513.0000   540404.0000   334398.0000   370603.0000
    6589.00136    12842.1000      433.7000   308348.0000   301653.0000   205693.0000   229190.0000   409586.0000   398527.0000   284734.0000   305198.0000   560252.0000   534731.0000   329799.0000   366289.0000
    6590.00069    12845.1000      440.7000   305281.0000   298940.0000   204291.0000   226021.0000   406719.0000   395793.0000   282536.0000   302438.0000   554152.0000   529546.0000   326867.0000   362193.0000
    6591.00025    12853.1000      445.7000   304174.0000   298192.0000   202450.0000   225089.0000   405180.0000   394394.0000   280610.0000   300614.0000   549515.0000   525868.0000   324408.0000   359116.0000
    6592.00002    12859.1000      449.7000   302579.0000   297080.0000   201362.0000   222945.0000   403199.0000   392817.0000   278696.0000   298831.0000   546227.0000   524103.0000   321344.0000   356143.0000
    6593.00001    12866.1000      451.7000   302553.0000   295201.0000   201649.0000   223903.0000   403261.0000   391491.0000   278668.0000   298869.0000   545701.0000   521278.0000   321957.0000   356425.0000
    6594.00022    12870.1000      454.7000   301984.0000   295707.0000   200534.0000   223111.0000   402653.0000   391685.0000   278224.0000   298344.0000   544431.0000   521327.0000   320817.0000   355723.0000
    6595.00065    12883.1000      455.7000   302472.0000   295050.0000   200290.0000   222812.0000   402273.0000   391639.0000   277795.0000   297644.0000   543991.0000   520899.0000   319980.0000   354646.0000
    6596.00130    12884.1000      457.7000   302154.0000   296000.0000   199641.0000   222729.0000   402008.0000   391339.0000   276734.0000   297556.0000   544360.0000   520283.0000   318834.0000   354333.0000
    6596.99798    12895.1000      458.7000   301953.0000   295202.0000   201687.0000   222132.0000   401845.0000   391327.0000   278096.0000   297435.0000   542501.0000   520346.0000   320598.0000   353930.0000
    6597.99907    12901.1000      459.7000   302136.0000   295640.0000   199433.0000   221669.0000   402327.0000   392166.0000   276708.0000   296932.0000   545202.0000   521137.0000   318595.0000   353817.0000
    6599.00038    12910.1000      457.7000   303190.0000   296971.0000   201757.0000   224120.0000   403577.0000   393103.0000   279337.0000   298821.0000   547632.0000   523226.0000   322281.0000   356789.0000
    6600.00191    12917.1000      455.7000   304235.0000   297164.0000   202881.0000   225735.0000   405402.0000   394766.0000   280986.0000   301920.0000   549823.0000   526798.0000   324815.0000   360760.0000
    6600.99946    12922.1000      452.7000   305297.0000   298947.0000   203793.0000   226015.0000   406879.0000   395909.0000   281857.0000   302046.0000   554220.0000   530257.0000   325854.0000   361349.0000
    6602.00143    12927.1000      451.7000   307390.0000   300097.0000   205240.0000   226853.0000   408834.0000   398300.0000   283794.0000   304196.0000   558088.0000   533145.0000   328546.0000   364631.0000
    6602.99942    12940.1000      448.7000   307434.0000   300759.0000   205545.0000   229085.0000   409746.0000   398724.0000   285039.0000   305885.0000   560859.0000   535957.0000   330834.0000   366978.0000
    6604.00182    12939.1000      446.7000   308461.0000   303190.0000   207173.0000   230123.0000   410723.0000   400564.0000   285951.0000   307412.0000   564138.0000   539745.0000   332398.0000   369453.0000
    6605.00025    12953.1000      445.7000   309215.0000   303500.0000   207638.0000   231238.0000   412227.0000   401878.0000   287542.0000   308596.0000   567308.0000   541985.0000   333800.0000   371474.0000
    6605.99890    12954.1000      443.7000   310083.0000   304162.0000   208929.0000   232051.0000   413812.0000   402921.0000   289289.0000   309973.0000   569141.0000   544800.0000   336625.0000   373040.0000
    6607.00196    12964.1000      443.7000   312161.0000   305144.0000   210002.0000   233498.0000   414050.0000   403931.0000   290499.0000   311215.0000   572144.0000   547262.0000   338406.0000   375346.0000
    6608.00104    12970.1000      442.7000   312533.0000   305821.0000   211491.0000   234391.0000   415995.0000   404935.0000   292269.0000   312361.0000   575373.0000   548712.0000   340854.0000   377077.0000
    6609.00033    12974.1000      440.7000   312837.0000   307422.0000   211379.0000   234970.0000   416252.0000   406361.0000   292908.0000   313349.0000   577191.0000   551822.0000   341884.0000   378585.0000
    6609.99985    12984.1000      438.7000   313934.0000   308391.0000   213021.0000   236606.0000   417889.0000   408448.0000   294661.0000   315492.0000   580923.0000   555802.0000   343741.0000   381869.0000
    6610.99958    12989.1000      435.7000   314606.0000   309158.0000   214569.0000   237741.0000   419438.0000   409670.0000   295841.0000   317209.0000   584265.0000   558682.0000   345967.0000   383975.0000
    6611.99953    12995.1000      432.7000   315607.0000   311115.0000   214928.0000   239040.0000   420817.0000   411083.0000   297214.0000   318284.0000   588144.0000   561643.0000   348415.0000   385851.0000
    6612.99970    12994.1000      429.7000   316884.0000   311235.0000   216957.0000   240313.0000   422564.0000   412479.0000   299695.0000   320173.0000   591876.0000   565071.0000   351447.0000   388982.0000
    6614.00008    13002.1000      428.7000   318061.0000   313604.0000   218125.0000   242072.0000   423368.0000   414084.0000   301458.0000   322201.0000   596031.0000   569733.0000   354203.0000   392316.0000
    6615.00068    13001.1000      424.7000   319645.0000   314082.0000   219202.0000   242482.0000   424952.0000   415550.0000   302709.0000   323108.0000   599099.0000   572743.0000   355457.0000   393732.0000
    6616.00150    12990.1000      423.7000   319382.0000   315497.0000   220251.0000   243261.0000   426239.0000   416424.0000   304158.0000   324533.0000   601712.0000   574898.0000   358483.0000   395722.0000
    6616.99833    12845.1000      418.7000   318622.0000   314617.0000   218611.0000   242854.0000   424143.0000   414705.0000   302041.0000   323312.0000   597898.0000   571288.0000   354767.0000   393942.0000
    6617.99958    12928.1000      410.7000   321679.0000   317155.0000   222547.0000   245350.0000   427961.0000   418784.0000   306570.0000   327653.0000   605822.0000   579671.0000   361679.0000   400619.0000
    6619.00105    13078.1000      419.7000   323420.0000   319197.0000   224599.0000   247967.0000   430318.0000   420926.0000   309429.0000   329972.0000   613988.0000   586300.0000   366479.0000   404704.0000
    6619.99853    13076.1000      417.7000   322672.0000   319061.0000   225376.0000   249143.0000   431057.0000   422394.0000   310324.0000   331411.0000   614910.0000   588326.0000   367172.0000   406543.0000
    6621.00043    13076.1000      415.7000   325172.0000   319835.0000   226195.0000   249554.0000   432599.0000   423072.0000   311841.0000   332957.0000   619482.0000   590493.0000   369359.0000   409348.0000
    6621.99833    13083.1000      413.7000   325576.0000   319908.0000   227597.0000   250396.0000   433688.0000   424024.0000   312832.0000   333491.0000   622052.0000   593473.0000   371908.0000   410728.0000
    6623.00067    13090.1000      412.7000   326169.0000   321831.0000   228116.0000   252443.0000   434867.0000   426146.0000   314022.0000   335074.0000   625305.0000   597738.0000   373326.0000   413094.0000
    6623.99901    13091.1000      410.7000   325956.0000   321940.0000   228128.0000   252914.0000   434580.0000   426664.0000   314562.0000   335967.0000   625944.0000   598711.0000   373240.0000   414320.0000
    6625.00177    13097.1000      409.7000   326314.0000   322696.0000   229330.0000   253700.0000   435365.0000   426978.0000   315895.0000   336792.0000   627521.0000   599720.0000   375830.0000   415988.0000
    6626.00054    13102.1000      408.7000   326975.0000   323884.0000   229624.0000   254021.0000   436546.0000   428874.0000   316915.0000   337855.0000   631102.0000   603288.0000   377408.0000   417514.0000
    6626.99952    13106.1000      408.7000   327384.0000   323572.0000   230300.0000   255252.0000   436783.0000   428723.0000   317912.0000   339488.0000   631791.0000   604480.0000   378620.0000   419679.0000
    6627.99872    13109.1000      408.7000   328085.0000   325136.0000   231616.0000   254800.0000   438114.0000   429818.0000   319104.0000   338983.0000   635062.0000   606664.0000   380356.0000   419603.0000
    6628.99814    13113.1000      407.7000   328799.0000   325625.0000   231744.0000   255567.0000   438172.0000   430231.0000   318883.0000   340091.0000   636178.0000   608349.0000   380787.0000   420822.0000
    6630.00198    13112.1000      405.7000   328938.0000   324874.0000   232644.0000   256203.0000   438977.0000   430631.0000   319975.0000   340959.0000   637391.0000   609613.0000   382065.0000   423081.0000
    6631.00183    13008.1000      405.7000   328294.0000   325066.0000   231062.0000   255634.0000   437689.0000   429014.0000   317239.0000   338967.0000   634840.0000   605963.0000   378377.0000   420063.0000
    6632.00188    12991.1000      400.7000   328311.0000   324858.0000   232170.0000   256696.0000   438497.0000   430021.0000   319610.0000   341757.0000   636212.0000   607979.0000   382060.0000   423815.0000
    6632.99793    13133.1000      403.7000   331311.0000   327645.0000   234502.0000   259163.0000   441201.0000   433494.0000   322564.0000   344297.0000   644579.0000   615326.0000   386353.0000   428069.0000
    6633.99842    13173.1000      404.7000   331142.0000   327124.0000   234882.0000   260147.0000   442133.0000   433508.0000   323852.0000   345463.0000   646400.0000   616847.0000   387995.0000   429679.0000
    6634.99912    13172.1000      404.7000   330613.0000   327789.0000   234403.0000   260361.0000   441856.0000   433923.0000   323544.0000   345953.0000   646508.0000   618082.0000   387218.0000   430664.0000
    6636.00004    13173.1000      405.7000   330464.0000   328952.0000   234919.0000   259694.0000   442049.0000   434914.0000   323991.0000   344428.0000   645766.0000   618967.0000   388150.0000   429172.0000
    6637.00117    13182.1000      407.7000   330870.0000   328247.0000   234968.0000   259618.0000   441552.0000   433891.0000   323310.0000   344524.0000   645868.0000   617798.0000   388036.0000   429120.0000
    6637.99829    13182.1000      409.7000   330684.0000   326330.0000   234778.0000   258297.0000   441321.0000   432956.0000   323622.0000   343172.0000   644892.0000   615622.0000   387570.0000   426674.0000
    6638.99984    13192.1000      413.7000   329395.0000   326422.0000   232993.0000   257382.0000   440390.0000   432164.0000   321496.0000   342641.0000   641369.0000   613215.0000   384401.0000   426233.0000
