 &SRS
 SRSRUN=94731,SRSDAT=021011,SRSTIM=074620,
 SRSSTN='exf9',SRSPRJ='xrsws9p2',SRSEXP='exafs   ',
 SRSTLE='CuO standard                                                '
 SRSCN1='94.3 ma ',SRSCN2='11.10.02',SRSCN3='14.1 hr ',
 &END
      1258.00       1363.00       1326.00          0.00 
      1223.00       1149.00       1288.00       1273.00 
      1247.00          0.00          0.00          0.00 
      4168.00       3073.00       3217.00       3731.00 
      7379.00       3369.00       3426.00          0.00 
      3275.00       2975.00       3207.00       3870.00 
      3128.00          0.00          0.00          0.00 
     12741.76       939.51     28285.00     34619.00     16281.00    500979.00
      1536.00       1388.00       1349.00       1388.00 
      1288.00       1382.00       1383.00          0.00 
      1300.00       1229.00       1272.00       1453.00 
      1313.00          0.00          0.00          0.00 
      4330.00       3171.00       3202.00       3852.00 
      7541.00       3440.00       3421.00          0.00 
      3551.00       2923.00       3173.00       3969.00 
      3153.00          0.00          0.00          0.00 
     12740.35       939.51     28495.00     34863.00     16973.00    504752.00
      1622.00       1505.00       1354.00       1418.00 
      1394.00       1461.00       1463.00          0.00 
      1334.00       1301.00       1353.00       1356.00 
      1412.00          0.00          0.00          0.00 
      6910.00       3248.00       3280.00       4062.00 
      9037.00       3486.00       3613.00          1.00 
      3543.00       3117.00       3264.00       3795.00 
      3264.00          0.00          0.00          0.00 
     12738.94       939.51     28524.00     34882.00     17904.00    505967.00
      1642.00       1538.00       1551.00       1472.00 
      1433.00       1448.00       1504.00          0.00 
      1512.00       1407.00       1422.00       1533.00 
      1442.00          0.00          0.00          0.00 
      7330.00       3349.00       3474.00       4258.00 
      9305.00       3587.00       3603.00          0.00 
      3771.00       3173.00       3435.00       3973.00 
      3410.00          0.00          0.00          0.00 
     12737.54       939.51     28535.00     34879.00     19014.00    506661.00
      1722.00       1661.00       1609.00       1593.00 
      1590.00       1659.00       1636.00          0.00 
      1525.00       1447.00       1493.00       1542.00 
      1537.00          0.00          0.00          0.00 
      4846.00       3569.00       3481.00       4100.00 
      8375.00       3865.00       3878.00          0.00 
      3770.00       3353.00       3462.00       3977.00 
      3420.00          0.00          0.00          0.00 
     12736.13       939.51     28518.00     34820.00     20139.00    506407.00
      1774.00       1773.00       1755.00       1710.00 
      1645.00       1760.00       1709.00          0.00 
