Energy	INTENSITY
11.4168	9.6723335e-05
11.4175	9.6308155e-05
11.4235	0.00010055632
11.429	0.00010177809
11.434	0.00010517327
11.439	0.00010839591
11.444	0.00010952767
11.449	0.00011518454
11.454	0.00011869337
11.459	0.00012080449
11.464	0.00012592273
11.469	0.00012939482
11.474	0.00013985642
11.479	0.00014285026
11.484	0.0001493879
11.489	0.00016023775
11.494	0.0001671419
11.499	0.00017522901
11.5037	0.00018965336
11.509	0.0002062602
11.514	0.00022381436
11.516	0.00023456637
11.518	0.0002467591
11.52	0.00025494036
11.522	0.0002670222
11.524	0.00027926086
11.526	0.00029781129
11.528	0.00031411511
11.53	0.00033150456
11.532	0.00035864284
11.534	0.00037354237
11.536	0.00040435418
11.538	0.0004364365
11.54	0.00047827273
11.542	0.00052546058
11.544	0.00058461586
11.5443	0.00058736786
11.5446	0.00060000003
11.5449	0.00061063695
11.5452	0.00061468687
11.5455	0.00062789459
11.5458	0.00063460227
11.5461	0.00065737974
11.5464	0.00066892902
11.5467	0.00068066188
11.547	0.00070017041
11.5473	0.000712779
11.5476	0.0007253075
11.5479	0.00074325444
11.5482	0.00076021801
11.5485	0.00077601417
11.5488	0.00079429417
11.5491	0.00080699904
11.5494	0.00083182845
11.5497	0.00085174432
11.55	0.00087290537
11.5503	0.00089843542
11.5506	0.00091890362
11.5509	0.00095465075
11.5512	0.00096270407
11.5515	0.00099883252
11.5518	0.0010240998
11.5521	0.0010561168
11.5524	0.0010889997
11.5527	0.0011170295
11.553	0.001163146
11.5533	0.0011883264
11.5536	0.0012169275
11.5539	0.0012569524
11.5542	0.0012985012
11.5545	0.0013399606
11.5548	0.001383865
11.5551	0.0014316675
11.5554	0.0014922896
11.5557	0.0015390585
11.556	0.0015943312
11.5563	0.0016500839
11.5566	0.0017343245
11.5569	0.001803488
11.5572	0.001898319
11.5575	0.0019685645
11.5578	0.0021026405
11.5581	0.0022292412
11.5584	0.0023468859
11.5587	0.0024757702
11.559	0.0026536756
11.5593	0.0027478095
11.5596	0.0029751207
11.5599	0.0031808163
11.5602	0.0033637458
11.5605	0.0036186329
11.5608	0.0038696723
11.5611	0.004215721
11.5614	0.0045515806
11.5617	0.0049103471
11.562	0.005350804
11.5623	0.00574141
11.5626	0.0062289331
11.5629	0.0067626471
11.5632	0.0073227105
11.5635	0.0078016547
11.5638	0.0083440328
11.5641	0.0089615285
11.5644	0.009571543
11.5647	0.010021884
11.565	0.010543477
11.5653	0.01104006
11.5656	0.011377083
11.5659	0.011764083
11.5662	0.012014689
11.5665	0.012172356
11.5668	0.012342677
11.5671	0.012411535
11.5674	0.012451035
11.5677	0.012385586
11.568	0.012281559
11.5683	0.012129555
11.5686	0.011988839
11.5689	0.011649692
11.5692	0.011373192
11.5695	0.011068569
11.5698	0.010818686
11.5701	0.010451589
11.5704	0.010152096
11.5707	0.009869609
11.571	0.00964115
11.5713	0.0093449904
11.5716	0.0091434941
11.5719	0.0089017786
11.5722	0.0087153018
11.5725	0.0085200537
11.5728	0.0083151022
11.5731	0.0081564691
11.5734	0.0080031408
11.5737	0.0079030069
11.574	0.007773607
11.5743	0.0076768603
11.5746	0.0076041562
11.5749	0.0075520845
11.5752	0.0074948287
11.5755	0.0074720341
11.5758	0.007421081
11.5761	0.0074186004
11.5764	0.0073976265
11.5767	0.0074100597
11.577	0.0073991856
11.5773	0.0073972689
11.5776	0.0074164886
11.5779	0.0074253054
11.5782	0.0074454141
11.5785	0.0074587758
11.5788	0.0074919732
11.5791	0.0074752886
11.5794	0.0074965023
11.5797	0.007538802
11.58	0.007516996
11.5803	0.0075214552
11.5806	0.0075300252
11.5809	0.0075615179
11.5812	0.0075615621
11.5815	0.0075740758
11.5818	0.0076169991
11.5821	0.0075960038
11.5824	0.0076257605
11.5827	0.0076639522
11.583	0.0076589705
11.5833	0.0076912073
11.5836	0.0077124247
11.5839	0.0077241343
11.584	0.0077258963
11.5849	0.0077857338
11.5858	0.007836259
11.5867	0.0078736059
11.5876	0.00790965
11.5886	0.0079629458
11.5896	0.0080508403
11.5906	0.0081296582
11.5916	0.0082556587
11.5926	0.0083649531
11.5937	0.0084553175
11.5948	0.0085193543
11.5958	0.0085329283
11.597	0.0085541848
11.5981	0.0085877869
11.5992	0.0085919369
11.6004	0.0086092595
11.6016	0.0086512398
11.6028	0.0086885877
11.604	0.008753079
11.6053	0.0088060349
11.6065	0.0088460203
11.6078	0.008893799
11.6091	0.008922847
11.6104	0.008962173
11.6118	0.009016335
11.6131	0.0090908101
11.6145	0.0091451667
11.6159	0.0091929194
11.6173	0.0092072533
11.6188	0.0091747371
11.6202	0.0091048852
11.6217	0.0090320744
11.6232	0.0089176977
11.6247	0.0088450126
11.6262	0.0087753851
11.6278	0.0086821858
11.6293	0.0086220875
11.6309	0.0085266465
11.6325	0.0084845573
11.6341	0.0084273368
11.6358	0.0083632693
11.6374	0.0083363149
11.6391	0.0083257593
11.6408	0.0083083911
11.6426	0.0083260331
11.6443	0.0083543304
11.6461	0.0083909472
11.6478	0.0084212441
11.6496	0.0084666423
11.6514	0.0085114352
11.6533	0.0085469093
11.6551	0.0085604247
11.657	0.0085732536
11.6589	0.0086042024
11.6608	0.0085970685
11.6627	0.0086227544
11.6647	0.0086036641
11.6666	0.0086391764
11.6686	0.0086628683
11.6706	0.0087019894
11.6727	0.0087205693
11.6747	0.0087670181
11.6768	0.0087890103
11.6789	0.0088273548
11.681	0.0088600153
11.6831	0.0088730883
11.6852	0.0088586295
11.6874	0.0088515766
11.6895	0.0088399081
11.6917	0.0088325329
11.694	0.0088193696
11.6962	0.0087969098
11.6984	0.0087614991
11.7007	0.0087307133
11.703	0.0087022437
11.7053	0.0086680455
11.7076	0.0086674755
11.71	0.0086399186
11.7124	0.0086397473
11.7148	0.0086278031
11.7172	0.0086261993
11.7196	0.0086472388
11.722	0.0086602271
11.7245	0.0086554252
11.727	0.0086851064
11.7295	0.0086717643
11.732	0.0087170154
11.7345	0.0087095145
11.7371	0.0087254122
11.7397	0.008742271
11.7423	0.0087545924
11.7449	0.0087451432
11.7475	0.0087813465
11.7502	0.0087700048
11.7528	0.0087846173
11.7555	0.0088062081
11.7582	0.0088152047
11.761	0.0088340333
11.7637	0.0088418424
11.7665	0.0088504357
11.7693	0.0088555226
11.7721	0.0088780485
11.7749	0.0088894973
11.7777	0.0088912863
11.7806	0.0089093642
11.7835	0.0089232996
11.7864	0.0089202859
11.7893	0.00889959
11.7922	0.0088790618
11.7952	0.0088629527
11.7982	0.008843096
11.8012	0.0088156834
11.8042	0.0088104922
11.8072	0.0088046649
11.8103	0.0087781046
11.8134	0.0087804142
11.8164	0.0087956591
11.8196	0.0087841805
11.8227	0.008802834
11.8258	0.0088119768
11.829	0.0088134501
11.8322	0.0088165496
11.8354	0.0088220146
11.8386	0.0088334708
11.8419	0.0088311527
11.8451	0.0088399835
11.8484	0.0088442378
11.8517	0.008866528
11.855	0.0088588297
11.8584	0.0088609401
11.8617	0.0088516437
11.8651	0.008852493
11.8685	0.0088415649
11.8719	0.0088737421
11.8753	0.0088498853
11.8788	0.0088533163
11.8823	0.0088708345
