XDAC V1.2 Datafile V1
"fe.060" created on 10/3/02 at 10:20:36 PM on X-11A
Ring energy= 2.58 GeV
E0= 7112.00
NUM_REGIONS= 3
SRB= -200 -20 20 22k
SRSS= 5 0.5 0.05k
SPP= 2 2 2
Settling time= 0.50


Offsets= 9925.80 9914.40
Gains= 7.00 7.00
Iron foil, I0: 50%N2, It:N2


--------------------------------------------------------------------------------
        Energy    Enkev         I0            It
    7125.49848    7.12549848    36617.4000     1967.2000
    7126.00987    7.12600987    36600.4000     2043.2000
    7126.49441    7.12649441    36583.4000     2165.2000
    7127.00595    7.12700595    36580.4000     2302.2000
    7127.49064    7.12749064    36556.4000     2446.2000
    7128.00232    7.12800232    36538.4000     2588.2000
    7128.48715    7.12848715    36517.4000     2699.2000
    7128.99899    7.12899899    36498.4000     2803.2000
    7129.51090    7.12951090    36471.4000     2872.2000
    7129.99594    7.12999594    36474.4000     2922.2000
    7130.50800    7.13050800    36464.4000     2944.2000
    7130.99318    7.13099318    36431.4000     2942.2000
    7131.50540    7.13150540    36390.4000     2916.2000
    7132.88066    7.13288066    36364.4000     2780.2000
    7133.77083    7.13377083    36364.4000     2679.2000
    7134.71520    7.13471520    36354.4000     2602.2000
    7135.63284    7.13563284    36341.4000     2577.2000
    7136.60473    7.13660473    36328.4000     2598.2000
    7137.57689    7.13757689    36322.4000     2638.2000
    7138.57634    7.13857634    36302.4000     2661.2000
    7139.60311    7.13960311    36287.4000     2631.2000
    7140.63019    7.14063019    36267.4000     2546.2000
    7141.68462    7.14168462    36285.4000     2422.2000
    7142.76642    7.14276642    36291.4000     2288.2000
    7143.84856    7.14384856    36284.4000     2199.2000
    7144.95811    7.14495811    36268.4000     2146.2000
    7146.09509    7.14609509    36255.4000     2107.2000
    7147.23245    7.14723245    36247.4000     2081.2000
    7148.39729    7.14839729    36229.4000     2079.2000
    7149.58962    7.14958962    36195.4000     2101.2000
    7150.80947    7.15080947    36183.4000     2137.2000
    7152.02976    7.15202976    36158.4000     2161.2000
    7153.27762    7.15327762    36146.4000     2167.2000
    7154.52593    7.15452593    36114.4000     2168.2000
    7155.80184    7.15580184    36016.4000     2176.2000
    7157.10540    7.15710540    35999.4000     2205.2000
    7158.43662    7.15843662    35991.4000     2241.2000
    7159.76835    7.15976835    35962.4000     2269.2000
    7161.12780    7.16112780    35932.4000     2288.2000
    7162.51499    7.16251499    35894.4000     2303.2000
    7163.90273    7.16390273    35856.4000     2327.2000
    7165.31827    7.16531827    35812.4000     2371.2000
    7166.76163    7.16676163    35780.4000     2446.2000
    7168.20559    7.16820559    35788.4000     2551.2000
    7169.67742    7.16967742    35783.4000     2674.2000
    7171.17715    7.17117715    35766.4000     2804.2000
    7172.67754    7.17267754    35746.4000     2922.2000
    7174.23317    7.17423317    35726.4000     2985.2000
    7175.76220    7.17576220    35721.4000     2985.2000
    7177.34655    7.17734655    35725.4000     2951.2000
    7178.93164    7.17893164    35701.4000     2882.2000
    7180.54479    7.18054479    35686.4000     2767.2000
    7182.15871    7.18215871    35657.4000     2633.2000
    7183.80075    7.18380075    35665.4000     2508.2000
    7185.47096    7.18547096    35671.4000     2379.2000
    7187.14198    7.18714198    35642.4000     2260.2000
    7188.84122    7.18884122    35624.4000     2206.2000
    7190.56873    7.19056873    35649.4000     2239.2000
    7192.29710    7.19229710    35636.4000     2337.2000
    7194.08124    7.19408124    35624.4000     2488.2000
    7195.83884    7.19583884    35646.4000     2673.2000
    7197.65230    7.19765230    35635.4000     2889.2000
    7199.46671    7.19946671    35624.4000     3106.2000
    7201.28208    7.20128208    35611.4000     3250.2000
    7203.15345    7.20315345    35619.4000     3247.2000
    7205.02583    7.20502583    35628.4000     3056.2000
    7206.92679    7.20692679    35631.4000     2699.2000
    7208.82878    7.20882878    35604.4000     2287.2000
    7210.75942    7.21075942    35586.4000     1914.2000
    7212.69113    7.21269113    35587.4000     1653.2000
    7214.67915    7.21467915    35575.4000     1528.2000
    7216.66831    7.21666831    35562.4000     1543.2000
    7218.65862    7.21865862    35553.4000     1693.2000
    7220.67774    7.22067774    35568.4000     1948.2000
    7222.72571    7.22272571    35575.4000     2261.2000
    7224.80260    7.22480260    35561.4000     2607.2000
    7226.88073    7.22688073    35591.4000     2972.2000
    7228.98783    7.22898783    35597.4000     3272.2000
    7231.09622    7.23109622    35586.4000     3448.2000
    7233.23365    7.23323365    35581.4000     3502.2000
    7235.40018    7.23540018    35569.4000     3443.2000
    7237.56806    7.23756806    35562.4000     3303.2000
    7239.76511    7.23976511    35553.4000     3143.2000
    7241.99139    7.24199139    35528.4000     3019.2000
    7244.21909    7.24421909    35455.4000     2974.2000
    7246.47610    7.24647610    35400.4000     3006.2000
    7248.76245    7.24876245    35310.4000     3089.2000
    7251.05031    7.25105031    35158.4000     3161.2000
    7253.36760    7.25336760    34450.4000     3088.2000
    7255.68643    7.25568643    35406.4000     3083.2000
    7258.03477    7.25803477    35338.4000     2983.2000
    7260.41268    7.26041268    35311.4000     2927.2000
    7262.79220    7.26279220    35297.4000     2871.2000
    7265.20138    7.26520138    35288.4000     2744.2000
    7267.64025    7.26764025    35295.4000     2574.2000
    7270.08083    7.27008083    35303.4000     2465.2000
    7272.52312    7.27252312    35287.4000     2433.2000
    7275.02332    7.27502332    35233.4000     2380.2000
    7277.52530    7.27752530    34599.4000     2242.2000
    7280.02908    7.28002908    35351.4000     2167.2000
    7282.59097    7.28259097    35371.4000     2072.2000
    7285.12656    7.28512656    35382.4000     2085.2000
    7287.72039    7.28772039    35383.4000     2266.2000
    7290.31614    7.29031614    35353.4000     2541.2000
    7292.94206    7.29294206    35319.4000     2815.2000
    7295.56995    7.29556995    35276.4000     3040.2000
    7298.22810    7.29822810    35234.4000     3221.2000
    7300.88826    7.30088826    35181.4000     3359.2000
    7303.57877    7.30357877    35131.4000     3440.2000
    7306.29969    7.30629969    35075.4000     3432.2000
    7309.02273    7.30902273    35009.4000     3388.2000
    7311.77627    7.31177627    34953.4000     3383.2000
    7314.53197    7.31453197    34898.4000     3395.2000
    7317.31827    7.31731827    34829.4000     3401.2000
    7320.13525    7.32013525    34670.4000     3383.2000
