#E_eV       mt_Step
   24592.72      0.23614
   24595.20      0.22979
   24598.23      0.21951
   24600.71       0.2089
   24602.91      0.19711
   24605.40      0.18311
   24608.15      0.17027
   24610.64      0.16031
   24613.12      0.15202
   24615.33      0.14563
   24618.09      0.14043
   24620.30      0.13736
   24622.78      0.13538
   24625.27      0.13405
   24628.31      0.13299
   24630.52      0.13174
   24633.01      0.13064
   24635.49      0.12982
   24638.26      0.12995
   24640.47      0.13133
   24642.96      0.13462
   24645.45       0.1397
   24647.66      0.14595
   24650.43      0.15345
   24652.92       0.1598
   24655.69      0.16603
   24658.18      0.17095
   24660.40        0.176
   24662.89      0.18104
   24665.67      0.18507
   24668.16      0.18743
   24670.38      0.18808
   24672.87        0.187
   24675.37      0.18393
   24677.87      0.17905
   24680.36       0.1725
   24683.14       0.1646
   24685.64      0.15636
   24688.14      0.14712
   24690.36      0.13761
   24693.13      0.12754
   24695.63       0.1193
   24698.14      0.11268
   24700.36      0.10771
   24702.86      0.10423
   24705.36      0.10185
   24707.87      0.10089
   24710.65      0.10053
   24713.15      0.10108
   24715.38      0.10196
   24717.88      0.10301
   24720.67       0.1037
   24723.17      0.10349
   24725.40      0.10229
   24727.91      0.10014
   24730.41      0.09755
   24732.92       0.0957
   24735.43      0.09486
   24737.94       0.0955
   24740.73      0.09743
   24742.96      0.09977
   24745.47      0.10295
   24748.26      0.10597
   24750.49      0.10843
   24753.00       0.1111
   24755.52      0.11363
   24757.75      0.11596
   24760.26      0.11834
   24762.78      0.12007
   24765.57      0.12148
   24768.37      0.12253
   24770.32      0.12321
   24773.12      0.12411
   24775.36      0.12415
   24778.15      0.12319
   24780.67      0.12131
   24782.91      0.11861
   24785.43      0.11427
   24787.67      0.10876
   24790.47      0.10168
   24792.99      0.09423
   24795.79      0.08667
   24798.03       0.0801
   24800.27      0.07308
   24803.07      0.06658
   24805.88      0.06239
   24807.84      0.06002
   24810.36      0.05874
   24813.17      0.05874
   24815.13      0.05935
   24817.94      0.06037
   24820.46      0.06072
   24823.27      0.06071
   24825.52      0.06054
   24828.04       0.0602
   24830.57      0.05984
   24833.10      0.05966
   24835.63      0.05951
   24837.88      0.05952
   24840.41      0.05951
   24842.94      0.05977
   24845.19      0.06009
   24848.00      0.06062
   24854.19      0.06301
   24860.10       0.0653
   24866.02      0.06622
