# TR: NSLS/X11 EDC-5.02 15-Sep-92 02:35:54 E- ENERGY=2.584GEV
# Cu foil, 50K, rolled and annealled foil by matt
# 2-SI111 HC/2D= 1977.260 STPDEG=6400. STPMMZ= 40. FOCUS=F TRANSLT=F
# E0= 8980.0 NREG= 3 NPTS= 619 NSCLRS= 3 EF=     .0
# SRB=   -197.6    -47.3     30.0   2381.3
# DEL=           10.020     .483     .050K
# SEC=             1.000    1.000    1.000
# DETECTORSI0      I       If
# GAINS           8       7      10
# OFFSETS     51284   50016   48319
# nsls 0.2p, Bruce Ravel   TR mode
# ----------------------------------------------------------------
#     energy              xmu
     9172.399            2.97330
     9175.119            3.00647
     9177.842            2.99949
     9180.610            2.96110
     9183.381            2.92748
     9186.198            2.91024
     9188.973            2.90267
     9191.840            2.87473
     9194.663            2.83653
     9197.533            2.82878
     9200.451            2.87603
     9203.326            2.96919
     9206.293            3.06319
     9209.217            3.09330
     9212.188            3.09586
     9215.161            3.07888
     9218.183            3.03742
     9221.206            2.96227
     9224.230            2.87061
     9227.304            2.78479
     9230.379            2.72010
     9233.456            2.68045
     9236.581            2.66168
     9239.755            2.66799
     9242.885            2.69857
     9246.063            2.71966
     9249.242            2.71926
     9252.471            2.72476
     9255.702            2.73198
     9258.935            2.73589
     9262.217            2.75151
     9265.500            2.78259
     9268.787            2.81017
     9272.122            2.82938
     9275.459            2.83904
     9278.847            2.84042
     9282.235            2.83938
     9285.627            2.84887
     9289.067            2.86293
     9292.511            2.88118
     9295.957            2.89589
     9299.451            2.87464
     9302.949            2.82930
     9306.449            2.78583
     9310.000            2.73843
     9313.553            2.69575
     9317.108            2.67578
     9320.713            2.68112
     9324.320            2.69975
     9327.979            2.71324
     9331.592            2.69967
     9335.256            2.66152
     9338.969            2.61219
     9342.732            2.59063
     9346.405            2.61336
     9350.128            2.63665
     9353.900            2.63775
     9357.677            2.64809
     9361.550            2.66408
     9365.332            2.67200
     9369.165            2.68002
     9373.048            2.68901
     9376.935            2.69625
     9380.824            2.70387
     9384.718            2.70820
     9388.662            2.71029
     9392.609            2.71179
     9396.561            2.71253
     9400.563            2.70787
     9404.567            2.69093
     9408.624            2.65879
     9412.685            2.61919
     9416.748            2.58571
     9420.815            2.57291
     9424.935            2.57357
     9429.057            2.58266
     9433.231            2.59685
     9437.361            2.60434
     9441.544            2.60053
     9445.777            2.58591
     9449.966            2.55872
     9454.208            2.53241
     9458.501            2.52756
     9462.750            2.53543
     9467.052            2.53179
     9471.406            2.51957
     9475.716            2.51402
     9480.078            2.51387
     9484.444            2.52250
     9488.863            2.53667
     9493.238            2.54928
     9497.714            2.56358
     9502.146            2.58218
     9506.630            2.59650
     9511.118            2.60123
     9515.661            2.59256
     9520.158            2.56883
     9524.709            2.52671
     9529.265            2.48630
     9533.825            2.46768
     9538.438            2.46221
     9543.105            2.46027
     9547.679            2.45808
     9552.355            2.45876
     9557.036            2.46224
     9561.722            2.46255
     9566.462            2.45601
     9571.256            2.45076
     9575.956            2.44734
     9580.760            2.43931
     9585.568            2.42312
     9590.382            2.41547
     9595.201            2.41483
     9600.024            2.41334
     9604.903            2.41772
     9609.786            2.42092
     9614.676            2.41974
     9619.619            2.41921
     9624.567            2.42369
     9629.521            2.43041
     9634.480            2.42775
     9639.496            2.41988
     9644.516            2.41073
     9649.541            2.40172
     9654.622            2.39538
     9659.708            2.38607
     9664.800            2.37216
     9669.897            2.36198
     9675.051            2.35570
     9680.210            2.35147
     9685.374            2.35081
     9690.646            2.34481
     9695.771            2.33337
     9701.004            2.32918
     9706.293            2.32757
     9711.537            2.32300
     9716.839            2.31434
     9722.146            2.30762
     9727.458            2.30283
     9732.828            2.29451
     9738.204            2.29273
     9743.586            2.29418
     9748.975            2.29567
     9754.420            2.30144
     9759.820            2.30058
     9765.278            2.29799
     9770.794            2.29416
     9776.265            2.28563
     9781.793            2.27292
     9787.379            2.26377
     9792.869            2.26189
     9798.469            2.26177
     9804.075            2.26041
     9809.688            2.25789
     9815.306            2.25178
     9820.932            2.24042
     9826.669            2.23008
     9832.308            2.22053
     9838.059            2.21337
     9843.815            2.20937
     9849.475            2.20493
     9855.245            2.19897
     9861.023            2.19425
     9866.860            2.18922
     9872.652            2.18483
     9878.504            2.18282
     9884.362            2.17854
     9890.228            2.17539
     9896.153            2.17559
     9902.086            2.17525
     9908.026            2.17289
     9913.974            2.16886
     9919.929            2.16356
     9925.944            2.15787
     9931.966            2.15249
     9937.997            2.14756
     9944.034            2.14115
     9950.079            2.13336
     9956.186            2.12696
     9962.300            2.12183
     9968.421            2.11851
     9974.550            2.11577
