
   Ta:    Z = 73;   Atomic weight = 180.9479 g/mol ;    nominal density:   [INLINE] = 1.6624E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.00471E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.32555E+05
          20 edges. Edge energies (keV):
          

  K      6.74164E+01  L I    1.16815E+01  L II   1.11361E+01  L III  9.88110E+00
  M I    2.70800E+00  M II   2.46870E+00  M III  2.19400E+00  M IV   1.79320E+00
  M V    1.73510E+00  N I    5.65500E-01  N II   4.64800E-01  N III  4.04500E-01
  N IV   2.41300E-01  N V    2.29300E-01  N VI   2.50000E-02  N VII  2.50000E-02
  O I    7.11000E-02  O II   4.49000E-02  O III  3.64000E-02  O IV   5.70000E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.4008E+00, -8.3100E-01 e/atom
          Nuclear Thomson correction fNT = -1.6156E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=73, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

4.579800E-02  1.11684E+01  8.0408E+00  4.0830E+04  6.4498E-02  4.0830E+04  0.000E+00  2.707E+01
4.639671E-02  1.17160E+01  7.8751E+00  3.9472E+04  6.7054E-02  3.9472E+04  0.000E+00  2.672E+01
4.959809E-02  1.29598E+01  7.1262E+00  3.3413E+04  8.1656E-02  3.3413E+04  0.000E+00  2.500E+01
5.302035E-02  1.34527E+01  6.4845E+00  2.8442E+04  9.9000E-02  2.8442E+04  0.000E+00  2.338E+01
5.667876E-02  1.35799E+01  5.9403E+00  2.4373E+04  1.1950E-01  2.4373E+04  0.000E+00  2.187E+01
6.058959E-02  1.34579E+01  5.5463E+00  2.1288E+04  1.4363E-01  2.1288E+04  0.000E+00  2.046E+01
6.477028E-02  1.31680E+01  5.3333E+00  1.9149E+04  1.7188E-01  1.9149E+04  0.000E+00  1.914E+01
6.923942E-02  1.27668E+01  5.3146E+00  1.7850E+04  2.0480E-01  1.7850E+04  0.000E+00  1.791E+01
6.967800E-02  1.27230E+01  5.3230E+00  1.7766E+04  2.0818E-01  1.7766E+04  0.000E+00  1.779E+01
7.074450E-02  1.26034E+01  5.3504E+00  1.7588E+04  2.1650E-01  1.7588E+04  0.000E+00  1.753E+01
7.102890E-02  1.25498E+01  5.3593E+00  1.7547E+04  2.1875E-01  1.7547E+04  0.000E+00  1.746E+01
7.145550E-02  1.25391E+01  5.4288E+00  1.7668E+04  2.2214E-01  1.7668E+04  0.000E+00  1.735E+01
7.252200E-02  1.24678E+01  5.4730E+00  1.7550E+04  2.3072E-01  1.7550E+04  0.000E+00  1.710E+01
7.401695E-02  1.23489E+01  5.5495E+00  1.7436E+04  2.4299E-01  1.7436E+04  0.000E+00  1.675E+01
7.912411E-02  1.21364E+01  5.9225E+00  1.7407E+04  2.8709E-01  1.7407E+04  0.000E+00  1.567E+01
8.458368E-02  1.17681E+01  6.4758E+00  1.7804E+04  3.3777E-01  1.7804E+04  0.000E+00  1.466E+01
9.041995E-02  1.14742E+01  7.1961E+00  1.8508E+04  3.9573E-01  1.8508E+04  0.000E+00  1.371E+01
9.665893E-02  1.12899E+01  8.0678E+00  1.9411E+04  4.6173E-01  1.9411E+04  0.000E+00  1.283E+01
1.033284E-01  1.12531E+01  9.0673E+00  2.0407E+04  5.3652E-01  2.0408E+04  0.000E+00  1.200E+01
1.104581E-01  1.13843E+01  1.0141E+01  2.1351E+04  6.2088E-01  2.1352E+04  0.000E+00  1.122E+01
1.180797E-01  1.16865E+01  1.1251E+01  2.2159E+04  7.1560E-01  2.2160E+04  0.000E+00  1.050E+01
1.262272E-01  1.21528E+01  1.2364E+01  2.2778E+04  8.2145E-01  2.2779E+04  0.000E+00  9.822E+00
1.349368E-01  1.27723E+01  1.3449E+01  2.3179E+04  9.3918E-01  2.3180E+04  0.000E+00  9.188E+00
1.442475E-01  1.35288E+01  1.4484E+01  2.3351E+04  1.0695E+00  2.3352E+04  0.000E+00  8.595E+00
1.542005E-01  1.44022E+01  1.5448E+01  2.3298E+04  1.2132E+00  2.3299E+04  0.000E+00  8.040E+00
1.648404E-01  1.53689E+01  1.6327E+01  2.3034E+04  1.3708E+00  2.3035E+04  0.000E+00  7.521E+00
1.762144E-01  1.64015E+01  1.7112E+01  2.2583E+04  1.5428E+00  2.2585E+04  0.000E+00  7.036E+00
1.883732E-01  1.74671E+01  1.7797E+01  2.1971E+04  1.7298E+00  2.1973E+04  0.000E+00  6.582E+00
2.013709E-01  1.85176E+01  1.8384E+01  2.1231E+04  1.9320E+00  2.1233E+04  0.000E+00  6.157E+00
2.152655E-01  1.94419E+01  1.8876E+01  2.0392E+04  2.1497E+00  2.0394E+04  0.000E+00  5.760E+00
2.247140E-01  1.97006E+01  1.9146E+01  1.9814E+04  2.2980E+00  1.9816E+04  0.000E+00  5.517E+00
2.281535E-01  1.93069E+01  1.9233E+01  1.9604E+04  2.3520E+00  1.9606E+04  0.000E+00  5.434E+00
2.290707E-01  1.85987E+01  1.9255E+01  1.9548E+04  2.3664E+00  1.9550E+04  0.000E+00  5.412E+00
2.301188E-01  1.93136E+01  2.0802E+01  2.1022E+04  2.3829E+00  2.1024E+04  0.000E+00  5.388E+00
2.304465E-01  1.95039E+01  2.0804E+01  2.0995E+04  2.3880E+00  2.0997E+04  0.000E+00  5.380E+00
2.338860E-01  2.04059E+01  2.0825E+01  2.0706E+04  2.4419E+00  2.0708E+04  0.000E+00  5.301E+00
2.364740E-01  2.07303E+01  2.0839E+01  2.0494E+04  2.4825E+00  2.0496E+04  0.000E+00  5.243E+00
2.400935E-01  2.07908E+01  2.0857E+01  2.0202E+04  2.5392E+00  2.0205E+04  0.000E+00  5.164E+00
2.410587E-01  2.03502E+01  2.0862E+01  2.0126E+04  2.5543E+00  2.0129E+04  0.000E+00  5.143E+00
2.425065E-01  2.11426E+01  2.1990E+01  2.1087E+04  2.5769E+00  2.1090E+04  0.000E+00  5.113E+00
2.459970E-01  2.20772E+01  2.1957E+01  2.0757E+04  2.6315E+00  2.0760E+04  0.000E+00  5.040E+00
2.461260E-01  2.21023E+01  2.1956E+01  2.0745E+04  2.6335E+00  2.0748E+04  0.000E+00  5.037E+00
2.629708E-01  2.43119E+01  2.1747E+01  1.9231E+04  2.8953E+00  1.9234E+04  0.000E+00  4.715E+00
2.811158E-01  2.58639E+01  2.1470E+01  1.7761E+04  3.1739E+00  1.7764E+04  0.000E+00  4.410E+00
3.005128E-01  2.71910E+01  2.1254E+01  1.6448E+04  3.4666E+00  1.6451E+04  0.000E+00  4.126E+00
3.212482E-01  2.83891E+01  2.1057E+01  1.5243E+04  3.7726E+00  1.5247E+04  0.000E+00  3.859E+00
3.434143E-01  2.94763E+01  2.0868E+01  1.4131E+04  4.0908E+00  1.4135E+04  0.000E+00  3.610E+00
3.671099E-01  3.04296E+01  2.0687E+01  1.3105E+04  4.4202E+00  1.3109E+04  0.000E+00  3.377E+00
3.924405E-01  3.10594E+01  2.0517E+01  1.2158E+04  4.7592E+00  1.2163E+04  0.000E+00  3.159E+00
3.964100E-01  3.10502E+01  2.0492E+01  1.2022E+04  4.8111E+00  1.2027E+04  0.000E+00  3.128E+00
