
   Yb:    Z = 70;   Atomic weight = 173.0400 g/mol ;    nominal density:   [INLINE] = 6.9530E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.87340E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.43183E+05
          19 edges. Edge energies (keV):
          

  K      6.13323E+01  L I    1.04864E+01  L II   9.97820E+00  L III  8.94360E+00
  M I    2.39810E+00  M II   2.17300E+00  M III  1.94980E+00  M IV   1.57630E+00
  M V    1.52780E+00  N I    4.87200E-01  N II   3.96700E-01  N III  3.43500E-01
  N IV   1.98100E-01  N V    1.84900E-01  N VI   6.30000E-03  N VII  6.30000E-03
  O I    5.41000E-02  O II   2.34000E-02  O III  2.34000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -1.2559E+00, -7.4880E-01 e/atom
          Nuclear Thomson correction fNT = -1.5534E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=70, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
6.477028E-02  1.43639E+01  6.8326E+00  2.5653E+04  1.6441E-01  2.5653E+04  0.000E+00  1.914E+01
6.923942E-02  1.42565E+01  7.3074E+00  2.5665E+04  1.9609E-01  2.5665E+04  0.000E+00  1.791E+01
7.401695E-02  1.42383E+01  7.8560E+00  2.5811E+04  2.3286E-01  2.5811E+04  0.000E+00  1.675E+01
7.912411E-02  1.42782E+01  8.4722E+00  2.6039E+04  2.7535E-01  2.6039E+04  0.000E+00  1.567E+01
8.458368E-02  1.44017E+01  9.1509E+00  2.6309E+04  3.2421E-01  2.6309E+04  0.000E+00  1.466E+01
9.041995E-02  1.46183E+01  9.8876E+00  2.6593E+04  3.8015E-01  2.6593E+04  0.000E+00  1.371E+01
9.665893E-02  1.49408E+01  1.0679E+01  2.6866E+04  4.4387E-01  2.6866E+04  0.000E+00  1.283E+01
1.033284E-01  1.53873E+01  1.1521E+01  2.7114E+04  5.1612E-01  2.7115E+04  0.000E+00  1.200E+01
1.104581E-01  1.59855E+01  1.2411E+01  2.7324E+04  5.9766E-01  2.7325E+04  0.000E+00  1.122E+01
1.180797E-01  1.67794E+01  1.3345E+01  2.7485E+04  6.8926E-01  2.7486E+04  0.000E+00  1.050E+01
1.262272E-01  1.76931E+01  1.3721E+01  2.6434E+04  7.9167E-01  2.6435E+04  0.000E+00  9.822E+00
1.349368E-01  1.85556E+01  1.4022E+01  2.5270E+04  9.0563E-01  2.5271E+04  0.000E+00  9.188E+00
1.442475E-01  1.93574E+01  1.4258E+01  2.4037E+04  1.0319E+00  2.4038E+04  0.000E+00  8.595E+00
1.542005E-01  2.00562E+01  1.4425E+01  2.2749E+04  1.1710E+00  2.2750E+04  0.000E+00  8.040E+00
1.648404E-01  2.05356E+01  1.4521E+01  2.1422E+04  1.3237E+00  2.1423E+04  0.000E+00  7.521E+00
1.762144E-01  2.03091E+01  1.4544E+01  2.0072E+04  1.4904E+00  2.0073E+04  0.000E+00  7.036E+00
1.812020E-01  1.92579E+01  1.4533E+01  1.9503E+04  1.5645E+00  1.9505E+04  0.000E+00  6.842E+00
1.839755E-01  1.67441E+01  1.4521E+01  1.9194E+04  1.6058E+00  1.9196E+04  0.000E+00  6.739E+00
1.847151E-01  1.32587E+01  1.4517E+01  1.9112E+04  1.6169E+00  1.9114E+04  0.000E+00  6.712E+00
1.858245E-01  1.75972E+01  2.1569E+01  2.8226E+04  1.6335E+00  2.8228E+04  0.000E+00  6.672E+00
1.883732E-01  2.11451E+01  2.0604E+01  2.6598E+04  1.6717E+00  2.6600E+04  0.000E+00  6.582E+00
1.885980E-01  2.13076E+01  2.0525E+01  2.6466E+04  1.6750E+00  2.6468E+04  0.000E+00  6.574E+00
1.941380E-01  2.30226E+01  1.8887E+01  2.3658E+04  1.7584E+00  2.3660E+04  0.000E+00  6.386E+00
1.971095E-01  2.20414E+01  1.8198E+01  2.2452E+04  1.8033E+00  2.2454E+04  0.000E+00  6.290E+00
1.979019E-01  1.99674E+01  1.8033E+01  2.2159E+04  1.8152E+00  2.2161E+04  0.000E+00  6.265E+00
1.990905E-01  2.28638E+01  2.2254E+01  2.7183E+04  1.8332E+00  2.7185E+04  0.000E+00  6.228E+00
2.013709E-01  2.51673E+01  2.1356E+01  2.5791E+04  1.8677E+00  2.5793E+04  0.000E+00  6.157E+00
2.020620E-01  2.55620E+01  2.1105E+01  2.5400E+04  1.8782E+00  2.5402E+04  0.000E+00  6.136E+00
2.152655E-01  2.82182E+01  1.7830E+01  2.0142E+04  2.0788E+00  2.0144E+04  0.000E+00  5.760E+00
2.301188E-01  2.88034E+01  1.6144E+01  1.7060E+04  2.3050E+00  1.7062E+04  0.000E+00  5.388E+00
2.459970E-01  2.91777E+01  1.5266E+01  1.5091E+04  2.5461E+00  1.5094E+04  0.000E+00  5.040E+00
2.629708E-01  2.95510E+01  1.4683E+01  1.3578E+04  2.8020E+00  1.3581E+04  0.000E+00  4.715E+00
2.811158E-01  2.99033E+01  1.4230E+01  1.2310E+04  3.0721E+00  1.2313E+04  0.000E+00  4.410E+00
3.005128E-01  3.01906E+01  1.3849E+01  1.1207E+04  3.3560E+00  1.1210E+04  0.000E+00  4.126E+00
3.212482E-01  3.03301E+01  1.3522E+01  1.0236E+04  3.6527E+00  1.0240E+04  0.000E+00  3.859E+00
3.366300E-01  3.01196E+01  1.3322E+01  9.6236E+03  3.8678E+00  9.6275E+03  0.000E+00  3.683E+00
3.417825E-01  2.96525E+01  1.3262E+01  9.4360E+03  3.9389E+00  9.4399E+03  0.000E+00  3.628E+00
3.434143E-01  2.85099E+01  1.3244E+01  9.3783E+03  3.9613E+00  9.3823E+03  0.000E+00  3.610E+00
3.452175E-01  2.96927E+01  1.4446E+01  1.0176E+04  3.9859E+00  1.0180E+04  0.000E+00  3.591E+00
3.503700E-01  3.02947E+01  1.4404E+01  9.9977E+03  4.0561E+00  1.0002E+04  0.000E+00  3.539E+00
3.671099E-01  3.09747E+01  1.4291E+01  9.4665E+03  4.2805E+00  9.4708E+03  0.000E+00  3.377E+00
3.887660E-01  3.13983E+01  1.4185E+01  8.8730E+03  4.5622E+00  8.8776E+03  0.000E+00  3.189E+00
3.924405E-01  3.14140E+01  1.4171E+01  8.7811E+03  4.6090E+00  8.7857E+03  0.000E+00  3.159E+00
3.947165E-01  3.13826E+01  1.4162E+01  8.7253E+03  4.6379E+00  8.7299E+03  0.000E+00  3.141E+00
