
   Pt:    Z = 78;   Atomic weight = 195.0800 g/mol ;    nominal density:   [INLINE] = 2.1410E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.23938E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.15708E+05
          21 edges. Edge energies (keV):
          

  K      7.83948E+01  L I    1.38799E+01  L II   1.32726E+01  L III  1.15637E+01
  M I    3.29600E+00  M II   3.02650E+00  M III  2.64540E+00  M IV   2.20190E+00
  M V    2.12160E+00  N I    7.22000E-01  N II   6.09200E-01  N III  5.19000E-01
  N IV   3.30800E-01  N V    3.13300E-01  N VI   7.43000E-02  N VII  7.11000E-02
  O I    1.01700E-01  O II   6.53000E-02  O III  5.17000E-02  O IV   7.43991E-03
  O V    6.12538E-03

          Relativistic correction estimate frel (H82,3/5CL) = -1.6659E+00, -9.8160E-01 e/atom
          Nuclear Thomson correction fNT = -1.7109E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=78, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.058959E-02  1.83622E+01  5.7339E+00  2.0414E+04  1.4915E-01  2.0414E+04  0.000E+00  2.046E+01
6.399400E-02  1.76527E+01  5.0073E+00  1.6878E+04  1.7291E-01  1.6878E+04  0.000E+00  1.937E+01
6.477028E-02  1.70874E+01  4.8606E+00  1.6187E+04  1.7857E-01  1.6187E+04  0.000E+00  1.914E+01
6.497350E-02  1.67849E+01  4.8232E+00  1.6013E+04  1.8007E-01  1.6013E+04  0.000E+00  1.908E+01
6.523470E-02  1.57840E+01  4.7758E+00  1.5792E+04  1.8200E-01  1.5792E+04  0.000E+00  1.901E+01
6.562650E-02  1.67772E+01  6.6487E+00  2.1854E+04  1.8492E-01  2.1854E+04  0.000E+00  1.889E+01
6.660600E-02  1.76018E+01  6.4648E+00  2.0937E+04  1.9231E-01  2.0937E+04  0.000E+00  1.861E+01
6.923942E-02  1.80672E+01  6.0159E+00  1.8742E+04  2.1288E-01  1.8742E+04  0.000E+00  1.791E+01
6.967800E-02  1.80661E+01  5.9470E+00  1.8411E+04  2.1640E-01  1.8411E+04  0.000E+00  1.779E+01
7.074450E-02  1.78893E+01  5.7860E+00  1.7642E+04  2.2508E-01  1.7642E+04  0.000E+00  1.753E+01
7.102890E-02  1.75907E+01  5.7446E+00  1.7446E+04  2.2742E-01  1.7446E+04  0.000E+00  1.746E+01
7.145550E-02  1.79428E+01  6.3025E+00  1.9026E+04  2.3095E-01  1.9026E+04  0.000E+00  1.735E+01
7.252200E-02  1.82507E+01  6.1304E+00  1.8234E+04  2.3989E-01  1.8234E+04  0.000E+00  1.710E+01
7.281400E-02  1.82857E+01  6.0840E+00  1.8023E+04  2.4237E-01  1.8023E+04  0.000E+00  1.703E+01
7.392850E-02  1.82725E+01  5.9091E+00  1.7241E+04  2.5193E-01  1.7241E+04  0.000E+00  1.677E+01
7.401695E-02  1.82476E+01  5.8954E+00  1.7181E+04  2.5269E-01  1.7181E+04  0.000E+00  1.675E+01
7.422570E-02  1.80963E+01  5.8631E+00  1.7039E+04  2.5451E-01  1.7039E+04  0.000E+00  1.670E+01
7.467150E-02  1.83595E+01  6.2059E+00  1.7927E+04  2.5839E-01  1.7927E+04  0.000E+00  1.660E+01
7.578600E-02  1.86350E+01  6.0247E+00  1.7148E+04  2.6823E-01  1.7148E+04  0.000E+00  1.636E+01
7.912411E-02  1.89032E+01  5.5118E+00  1.5026E+04  2.9869E-01  1.5026E+04  0.000E+00  1.567E+01
8.458368E-02  1.88750E+01  4.8128E+00  1.2274E+04  3.5159E-01  1.2274E+04  0.000E+00  1.466E+01
9.041995E-02  1.85797E+01  4.2658E+00  1.0177E+04  4.1213E-01  1.0177E+04  0.000E+00  1.371E+01
9.665893E-02  1.81081E+01  3.8676E+00  8.6311E+03  4.8110E-01  8.6316E+03  0.000E+00  1.283E+01
9.966600E-02  1.78325E+01  3.7348E+00  8.0833E+03  5.1581E-01  8.0838E+03  0.000E+00  1.244E+01
1.011915E-01  1.76603E+01  3.6809E+00  7.8465E+03  5.3376E-01  7.8470E+03  0.000E+00  1.225E+01
1.015983E-01  1.75791E+01  3.6680E+00  7.7876E+03  5.3859E-01  7.7881E+03  0.000E+00  1.220E+01
1.022085E-01  1.75688E+01  3.7376E+00  7.8881E+03  5.4586E-01  7.8886E+03  0.000E+00  1.213E+01
1.033284E-01  1.74993E+01  3.7087E+00  7.7422E+03  5.5930E-01  7.7428E+03  0.000E+00  1.200E+01
1.037340E-01  1.74683E+01  3.6993E+00  7.6924E+03  5.6420E-01  7.6930E+03  0.000E+00  1.195E+01
1.104581E-01  1.68687E+01  3.6250E+00  7.0791E+03  6.4757E-01  7.0797E+03  0.000E+00  1.122E+01
1.180797E-01  1.61244E+01  3.7183E+00  6.7926E+03  7.4673E-01  6.7933E+03  0.000E+00  1.050E+01
1.262272E-01  1.53098E+01  4.0106E+00  6.8537E+03  8.5762E-01  6.8546E+03  0.000E+00  9.822E+00
1.349368E-01  1.44497E+01  4.5188E+00  7.2236E+03  9.8105E-01  7.2246E+03  0.000E+00  9.188E+00
1.442475E-01  1.35764E+01  5.2758E+00  7.8894E+03  1.1178E+00  7.8905E+03  0.000E+00  8.595E+00
1.542005E-01  1.27388E+01  6.3070E+00  8.8227E+03  1.2686E+00  8.8240E+03  0.000E+00  8.040E+00
1.648404E-01  1.20002E+01  7.6233E+00  9.9757E+03  1.4341E+00  9.9771E+03  0.000E+00  7.521E+00
1.762144E-01  1.14223E+01  9.2248E+00  1.1292E+04  1.6150E+00  1.1294E+04  0.000E+00  7.036E+00
1.883732E-01  1.10854E+01  1.1089E+01  1.2699E+04  1.8117E+00  1.2701E+04  0.000E+00  6.582E+00
2.013709E-01  1.10666E+01  1.3170E+01  1.4107E+04  2.0245E+00  1.4109E+04  0.000E+00  6.157E+00
2.152655E-01  1.14312E+01  1.5392E+01  1.5424E+04  2.2538E+00  1.5426E+04  0.000E+00  5.760E+00
2.301188E-01  1.21856E+01  1.7665E+01  1.6559E+04  2.4997E+00  1.6562E+04  0.000E+00  5.388E+00
2.459970E-01  1.33649E+01  1.9883E+01  1.7435E+04  2.7620E+00  1.7438E+04  0.000E+00  5.040E+00
2.629708E-01  1.49325E+01  2.1941E+01  1.7997E+04  3.0406E+00  1.8000E+04  0.000E+00  4.715E+00
2.811158E-01  1.68186E+01  2.3742E+01  1.8218E+04  3.3350E+00  1.8221E+04  0.000E+00  4.410E+00
3.005128E-01  1.88722E+01  2.5194E+01  1.8084E+04  3.6445E+00  1.8088E+04  0.000E+00  4.126E+00
3.070340E-01  1.94815E+01  2.5567E+01  1.7962E+04  3.7472E+00  1.7966E+04  0.000E+00  4.038E+00
3.117335E-01  1.97467E+01  2.5802E+01  1.7854E+04  3.8208E+00  1.7858E+04  0.000E+00  3.977E+00
3.129867E-01  1.95919E+01  2.5860E+01  1.7822E+04  3.8403E+00  1.7826E+04  0.000E+00  3.961E+00
3.148665E-01  2.00670E+01  2.6509E+01  1.8161E+04  3.8696E+00  1.8165E+04  0.000E+00  3.938E+00
3.195660E-01  2.07951E+01  2.6733E+01  1.8045E+04  3.9424E+00  1.8049E+04  0.000E+00  3.880E+00
3.212482E-01  2.10057E+01  2.6807E+01  1.8000E+04  3.9684E+00  1.8004E+04  0.000E+00  3.859E+00
