
   Ge:    Z = 32;   Atomic weight = 72.59000 g/mol ;    nominal density:   [INLINE] = 5.3070E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  1.20539E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  5.79699E+05
          9 edges. Edge energies (keV):
          

  K      1.11031E+01  L I    1.41430E+00  L II   1.24780E+00  L III  1.21670E+00
  M I    1.80000E-01  M II   1.27900E-01  M III  1.20800E-01  M IV   2.87000E-02
  M V    2.87000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -1.7723E-01, -1.1160E-01 e/atom
          Nuclear Thomson correction fNT = -7.7386E-03 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=32, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.201960E-01  7.33901E+00  1.2370E+01  5.9660E+04  4.0858E-01  5.9660E+04  0.000E+00  1.032E+01
1.206792E-01  7.19222E+00  1.2387E+01  5.9502E+04  4.1203E-01  5.9502E+04  0.000E+00  1.027E+01
1.214040E-01  7.46831E+00  1.2806E+01  6.1149E+04  4.1723E-01  6.1149E+04  0.000E+00  1.021E+01
1.232160E-01  7.83726E+00  1.2880E+01  6.0595E+04  4.3031E-01  6.0595E+04  0.000E+00  1.006E+01
1.253420E-01  8.13535E+00  1.2956E+01  5.9922E+04  4.4581E-01  5.9922E+04  0.000E+00  9.892E+00
1.262272E-01  8.23834E+00  1.2985E+01  5.9635E+04  4.5231E-01  5.9635E+04  0.000E+00  9.822E+00
1.272605E-01  8.32672E+00  1.3017E+01  5.9297E+04  4.5993E-01  5.9297E+04  0.000E+00  9.743E+00
1.277721E-01  8.30406E+00  1.3032E+01  5.9128E+04  4.6371E-01  5.9128E+04  0.000E+00  9.704E+00
1.285395E-01  8.49560E+00  1.3234E+01  5.9686E+04  4.6941E-01  5.9686E+04  0.000E+00  9.646E+00
1.304580E-01  8.82407E+00  1.3292E+01  5.9065E+04  4.8372E-01  5.9065E+04  0.000E+00  9.504E+00
1.349368E-01  9.44533E+00  1.3403E+01  5.7580E+04  5.1759E-01  5.7581E+04  0.000E+00  9.188E+00
1.442475E-01  1.05868E+01  1.3533E+01  5.4388E+04  5.8977E-01  5.4389E+04  0.000E+00  8.595E+00
1.542005E-01  1.16674E+01  1.3550E+01  5.0940E+04  6.6916E-01  5.0941E+04  0.000E+00  8.040E+00
1.648404E-01  1.26665E+01  1.3463E+01  4.7345E+04  7.5604E-01  4.7346E+04  0.000E+00  7.521E+00
1.762144E-01  1.34585E+01  1.3283E+01  4.3699E+04  8.5063E-01  4.3700E+04  0.000E+00  7.036E+00
1.764000E-01  1.34654E+01  1.3280E+01  4.3641E+04  8.5219E-01  4.3642E+04  0.000E+00  7.029E+00
1.791000E-01  1.34468E+01  1.3227E+01  4.2813E+04  8.7485E-01  4.2814E+04  0.000E+00  6.923E+00
1.798200E-01  1.32225E+01  1.3213E+01  4.2594E+04  8.8090E-01  4.2595E+04  0.000E+00  6.895E+00
1.809000E-01  1.35903E+01  1.3744E+01  4.4041E+04  8.8999E-01  4.4042E+04  0.000E+00  6.854E+00
1.836000E-01  1.40475E+01  1.3693E+01  4.3234E+04  9.1274E-01  4.3235E+04  0.000E+00  6.753E+00
1.883732E-01  1.45635E+01  1.3597E+01  4.1845E+04  9.5310E-01  4.1846E+04  0.000E+00  6.582E+00
2.013709E-01  1.56526E+01  1.3306E+01  3.8305E+04  1.0635E+00  3.8306E+04  0.000E+00  6.157E+00
2.152655E-01  1.66120E+01  1.2957E+01  3.4893E+04  1.1819E+00  3.4894E+04  0.000E+00  5.760E+00
2.301188E-01  1.74848E+01  1.2561E+01  3.1642E+04  1.3082E+00  3.1643E+04  0.000E+00  5.388E+00
2.459970E-01  1.82815E+01  1.2127E+01  2.8577E+04  1.4421E+00  2.8578E+04  0.000E+00  5.040E+00
2.629708E-01  1.90067E+01  1.1665E+01  2.5714E+04  1.5835E+00  2.5716E+04  0.000E+00  4.715E+00
2.811158E-01  1.96640E+01  1.1182E+01  2.3060E+04  1.7318E+00  2.3062E+04  0.000E+00  4.410E+00
3.005128E-01  2.02567E+01  1.0687E+01  2.0616E+04  1.8867E+00  2.0618E+04  0.000E+00  4.126E+00
3.212482E-01  2.07880E+01  1.0186E+01  1.8380E+04  2.0475E+00  1.8382E+04  0.000E+00  3.859E+00
3.434143E-01  2.12611E+01  9.6827E+00  1.6345E+04  2.2135E+00  1.6347E+04  0.000E+00  3.610E+00
3.671099E-01  2.16795E+01  9.1826E+00  1.4500E+04  2.3838E+00  1.4502E+04  0.000E+00  3.377E+00
3.924405E-01  2.20431E+01  8.6892E+00  1.2835E+04  2.5576E+00  1.2838E+04  0.000E+00  3.159E+00
4.195189E-01  2.23602E+01  8.2053E+00  1.1338E+04  2.7339E+00  1.1341E+04  0.000E+00  2.955E+00
4.484657E-01  2.26310E+01  7.7335E+00  9.9965E+03  2.9115E+00  9.9994E+03  0.000E+00  2.765E+00
4.794098E-01  2.28586E+01  7.2755E+00  8.7975E+03  3.0892E+00  8.8006E+03  0.000E+00  2.586E+00
5.124891E-01  2.30456E+01  6.8320E+00  7.7280E+03  3.2660E+00  7.7313E+03  0.000E+00  2.419E+00
5.478508E-01  2.31952E+01  6.3846E+00  6.7557E+03  3.4405E+00  6.7591E+03  0.000E+00  2.263E+00
5.856525E-01  2.32789E+01  5.9027E+00  5.8427E+03  3.6114E+00  5.8463E+03  0.000E+00  2.117E+00
6.260625E-01  2.32910E+01  5.4478E+00  5.0444E+03  3.7774E+00  5.0482E+03  0.000E+00  1.980E+00
6.692609E-01  2.32338E+01  5.0209E+00  4.3490E+03  3.9374E+00  4.3529E+03  0.000E+00  1.853E+00
7.154399E-01  2.31045E+01  4.6224E+00  3.7454E+03  4.0899E+00  3.7495E+03  0.000E+00  1.733E+00
7.648052E-01  2.28946E+01  4.2519E+00  3.2228E+03  4.2338E+00  3.2270E+03  0.000E+00  1.621E+00
8.175768E-01  2.25869E+01  3.9088E+00  2.7715E+03  4.3680E+00  2.7759E+03  0.000E+00  1.516E+00
8.739896E-01  2.21496E+01  3.5923E+00  2.3827E+03  4.4913E+00  2.3872E+03  0.000E+00  1.419E+00
9.342948E-01  2.15225E+01  3.3015E+00  2.0485E+03  4.6029E+00  2.0531E+03  0.000E+00  1.327E+00
9.987612E-01  2.05792E+01  3.0350E+00  1.7616E+03  4.7017E+00  1.7663E+03  0.000E+00  1.241E+00
1.067676E+00  1.90595E+01  2.7270E+00  1.4806E+03  4.7871E+00  1.4854E+03  0.000E+00  1.161E+00
1.141345E+00  1.56129E+01  2.4534E+00  1.2461E+03  4.8585E+00  1.2510E+03  0.000E+00  1.086E+00
1.192366E+00  8.11885E+00  2.2913E+00  1.1140E+03  4.8974E+00  1.1189E+03  0.000E+00  1.040E+00
1.210616E+00 -3.86651E+00  2.2379E+00  1.0716E+03  4.9094E+00  1.0765E+03  0.000E+00  1.024E+00
1.215483E+00 -2.08094E+01  2.2240E+00  1.0607E+03  4.9125E+00  1.0656E+03  0.000E+00  1.020E+00
1.220098E+00 -5.15984E+00  3.7725E+01  1.7924E+04  4.9153E+00  1.7929E+04  0.000E+00  1.016E+00
1.222844E+00  2.85035E+00  3.5368E+01  1.6766E+04  4.9169E+00  1.6771E+04  0.000E+00  1.014E+00
1.241561E+00  1.47120E+01  2.3036E+01  1.0756E+04  4.9277E+00  1.0761E+04  0.000E+00  9.986E-01
1.246552E+00  7.98782E+00  2.0622E+01  9.5899E+03  4.9304E+00  9.5948E+03  0.000E+00  9.946E-01
1.254039E+00  2.09940E+01  3.3772E+01  1.5611E+04  4.9343E+00  1.5616E+04  0.000E+00  9.887E-01
1.272756E+00  2.95143E+01  2.2269E+01  1.0143E+04  4.9436E+00  1.0148E+04  0.000E+00  9.741E-01
1.304285E+00  2.90267E+01  1.3776E+01  6.1229E+03  4.9572E+00  6.1279E+03  0.000E+00  9.506E-01
1.386014E+00  2.44972E+01  9.5723E+00  4.0036E+03  4.9821E+00  4.0086E+03  0.000E+00  8.945E-01
1.394281E+00  2.41206E+01  9.5221E+00  3.9590E+03  4.9839E+00  3.9640E+03  0.000E+00  8.892E-01
1.407228E+00  2.32805E+01  9.4782E+00  3.9045E+03  4.9864E+00  3.9095E+03  0.000E+00  8.811E-01
1.412886E+00  2.22441E+01  9.4709E+00  3.8858E+03  4.9874E+00  3.8908E+03  0.000E+00  8.775E-01
1.421371E+00  2.30612E+01  1.1331E+01  4.6214E+03  4.9888E+00  4.6264E+03  0.000E+00  8.723E-01
1.442586E+00  2.36767E+01  1.1374E+01  4.5707E+03  4.9917E+00  4.5757E+03  0.000E+00  8.595E-01
