
   Ac:    Z = 89;   Atomic weight = 227.0278 g/mol ;    nominal density:   [INLINE] = 1.0050E+01 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  3.76989E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  1.85353E+05
          24 edges. Edge energies (keV):
          

  K      1.06755E+02  L I    1.98400E+01  L II   1.90832E+01  L III  1.58710E+01
  M I    5.00200E+00  M II   4.65600E+00  M III  3.90900E+00  M IV   3.37020E+00
  M V    3.21900E+00  N I    1.26900E+00  N II   1.08000E+00  N III  8.90000E-01
  N IV   6.74900E-01  N V    6.37000E-01  N VI   3.03944E-01  N VII  2.95067E-01
  O I    2.61255E-01  O II   2.06171E-01  O III  1.63235E-01  O IV   8.31361E-02
  O V    7.69389E-02  P I    4.04636E-02  P II   2.51851E-02  P III  1.84021E-02

          Relativistic correction estimate frel (H82,3/5CL) = -2.3597E+00, -1.3722E+00 e/atom
          Nuclear Thomson correction fNT = -1.9140E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=89, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm

6.058959E-02  2.07723E+01  1.3621E+00  4.1670E+03  1.0331E-01  4.1671E+03  0.000E+00  2.046E+01
6.477028E-02  1.94632E+01  1.2104E+00  3.4638E+03  1.2545E-01  3.4639E+03  0.000E+00  1.914E+01
6.923942E-02  1.73383E+01  1.0785E+00  2.8871E+03  1.5165E-01  2.8873E+03  0.000E+00  1.791E+01
7.401695E-02  1.26956E+01  9.6397E-01  2.4140E+03  1.8249E-01  2.4142E+03  0.000E+00  1.675E+01
7.540014E-02  9.64471E+00  9.3502E-01  2.2985E+03  1.9196E-01  2.2987E+03  0.000E+00  1.644E+01
7.655423E-02  3.21458E+00  9.1214E-01  2.2085E+03  2.0004E-01  2.2087E+03  0.000E+00  1.620E+01
7.686198E-02 -4.10506E+00  9.0623E-01  2.1854E+03  2.0222E-01  2.1856E+03  0.000E+00  1.613E+01
7.732361E-02  3.08047E+00  1.5066E+01  3.6115E+04  2.0552E-01  3.6115E+04  0.000E+00  1.603E+01
7.847770E-02  9.02096E+00  1.4994E+01  3.5415E+04  2.1387E-01  3.5415E+04  0.000E+00  1.580E+01
7.912411E-02  1.03552E+01  1.4955E+01  3.5033E+04  2.1862E-01  3.5033E+04  0.000E+00  1.567E+01
8.147337E-02  1.18469E+01  1.4817E+01  3.3710E+04  2.3631E-01  3.3710E+04  0.000E+00  1.522E+01
8.272042E-02  9.52342E+00  1.4747E+01  3.3044E+04  2.4597E-01  3.3044E+04  0.000E+00  1.499E+01
8.305296E-02  5.52554E+00  1.4729E+01  3.2871E+04  2.4858E-01  3.2871E+04  0.000E+00  1.493E+01
8.355178E-02  1.03287E+01  2.3173E+01  5.1408E+04  2.5251E-01  5.1408E+04  0.000E+00  1.484E+01
8.458368E-02  1.46493E+01  2.3176E+01  5.0787E+04  2.6074E-01  5.0787E+04  0.000E+00  1.466E+01
8.479882E-02  1.52205E+01  2.3176E+01  5.0659E+04  2.6247E-01  5.0659E+04  0.000E+00  1.462E+01
9.041995E-02  2.39206E+01  2.2422E+01  4.5962E+04  3.0960E-01  4.5962E+04  0.000E+00  1.371E+01
9.665893E-02  2.97628E+01  2.0186E+01  3.8708E+04  3.6601E-01  3.8708E+04  0.000E+00  1.283E+01
1.033284E-01  3.34927E+01  1.6702E+01  2.9961E+04  4.3082E-01  2.9961E+04  0.000E+00  1.200E+01
1.104581E-01  3.52903E+01  1.3035E+01  2.1873E+04  5.0491E-01  2.1874E+04  0.000E+00  1.122E+01
1.180797E-01  3.57040E+01  9.8284E+00  1.5428E+04  5.8920E-01  1.5429E+04  0.000E+00  1.050E+01
1.262272E-01  3.52888E+01  7.3068E+00  1.0729E+04  6.8464E-01  1.0730E+04  0.000E+00  9.822E+00
1.349368E-01  3.44492E+01  5.4453E+00  7.4799E+03  7.9218E-01  7.4807E+03  0.000E+00  9.188E+00
1.442475E-01  3.34164E+01  4.1195E+00  5.2934E+03  9.1277E-01  5.2943E+03  0.000E+00  8.595E+00
1.542005E-01  3.22488E+01  3.1919E+00  3.8367E+03  1.0473E+00  3.8377E+03  0.000E+00  8.040E+00
1.599698E-01  3.14171E+01  2.8080E+00  3.2535E+03  1.1277E+00  3.2546E+03  0.000E+00  7.750E+00
1.624183E-01  3.07548E+01  2.6703E+00  3.0474E+03  1.1623E+00  3.0486E+03  0.000E+00  7.634E+00
1.630713E-01  3.01621E+01  2.6358E+00  2.9960E+03  1.1716E+00  2.9972E+03  0.000E+00  7.603E+00
1.640507E-01  3.06338E+01  3.6417E+00  4.1145E+03  1.1855E+00  4.1157E+03  0.000E+00  7.558E+00
1.648404E-01  3.08022E+01  3.5977E+00  4.0454E+03  1.1968E+00  4.0466E+03  0.000E+00  7.521E+00
1.664992E-01  3.09145E+01  3.5094E+00  3.9067E+03  1.2205E+00  3.9079E+03  0.000E+00  7.447E+00
1.762144E-01  3.06429E+01  3.0824E+00  3.2423E+03  1.3619E+00  3.2437E+03  0.000E+00  7.036E+00
1.883732E-01  2.99615E+01  2.7103E+00  2.6668E+03  1.5436E+00  2.6683E+03  0.000E+00  6.582E+00
2.013709E-01  2.90378E+01  2.4479E+00  2.2532E+03  1.7423E+00  2.2549E+03  0.000E+00  6.157E+00
2.020480E-01  2.89721E+01  2.4370E+00  2.2356E+03  1.7528E+00  2.2374E+03  0.000E+00  6.136E+00
2.051405E-01  2.85233E+01  2.3900E+00  2.1595E+03  1.8007E+00  2.1613E+03  0.000E+00  6.044E+00
2.059652E-01  2.81320E+01  2.3782E+00  2.1402E+03  1.8135E+00  2.1420E+03  0.000E+00  6.020E+00
2.072023E-01  2.84398E+01  3.0481E+00  2.7267E+03  1.8328E+00  2.7285E+03  0.000E+00  5.984E+00
2.102948E-01  2.86015E+01  2.9782E+00  2.6250E+03  1.8810E+00  2.6269E+03  0.000E+00  5.896E+00
2.152655E-01  2.85224E+01  2.8768E+00  2.4770E+03  1.9589E+00  2.4790E+03  0.000E+00  5.760E+00
2.301188E-01  2.79004E+01  2.6390E+00  2.1256E+03  2.1935E+00  2.1278E+03  0.000E+00  5.388E+00
2.459970E-01  2.70176E+01  2.4705E+00  1.8615E+03  2.4466E+00  1.8639E+03  0.000E+00  5.040E+00
2.560302E-01  2.63471E+01  2.3966E+00  1.7350E+03  2.6071E+00  1.7376E+03  0.000E+00  4.843E+00
2.599490E-01  2.60025E+01  2.3730E+00  1.6920E+03  2.6698E+00  1.6947E+03  0.000E+00  4.770E+00
2.609940E-01  2.58305E+01  2.3671E+00  1.6811E+03  2.6866E+00  1.6838E+03  0.000E+00  4.750E+00
2.625616E-01  2.58246E+01  2.5572E+00  1.8052E+03  2.7116E+00  1.8079E+03  0.000E+00  4.722E+00
2.629708E-01  2.58135E+01  2.5552E+00  1.8010E+03  2.7182E+00  1.8037E+03  0.000E+00  4.715E+00
2.664804E-01  2.56364E+01  2.5393E+00  1.7663E+03  2.7744E+00  1.7691E+03  0.000E+00  4.653E+00
2.811158E-01  2.45672E+01  2.4903E+00  1.6419E+03  3.0082E+00  1.6449E+03  0.000E+00  4.410E+00
2.891658E-01  2.38229E+01  2.4729E+00  1.5851E+03  3.1364E+00  1.5882E+03  0.000E+00  4.288E+00
2.935918E-01  2.33060E+01  2.4656E+00  1.5566E+03  3.2067E+00  1.5598E+03  0.000E+00  4.223E+00
2.947720E-01  2.30852E+01  2.4639E+00  1.5493E+03  3.2254E+00  1.5525E+03  0.000E+00  4.206E+00
2.965424E-01  2.29742E+01  2.6560E+00  1.6602E+03  3.2535E+00  1.6635E+03  0.000E+00  4.181E+00
2.978648E-01  2.28596E+01  2.6690E+00  1.6609E+03  3.2744E+00  1.6642E+03  0.000E+00  4.162E+00
3.005128E-01  2.25818E+01  2.6985E+00  1.6644E+03  3.3163E+00  1.6677E+03  0.000E+00  4.126E+00
3.009684E-01  2.25289E+01  2.7041E+00  1.6653E+03  3.3235E+00  1.6686E+03  0.000E+00  4.120E+00
3.024240E-01  2.23454E+01  2.7229E+00  1.6689E+03  3.3465E+00  1.6722E+03  0.000E+00  4.100E+00
3.036397E-01  2.21388E+01  2.7400E+00  1.6726E+03  3.3657E+00  1.6760E+03  0.000E+00  4.083E+00
3.054634E-01  2.19987E+01  2.9188E+00  1.7711E+03  3.3945E+00  1.7745E+03  0.000E+00  4.059E+00
3.100226E-01  2.15241E+01  3.0429E+00  1.8193E+03  3.4663E+00  1.8228E+03  0.000E+00  3.999E+00
3.212482E-01  2.01342E+01  3.5042E+00  2.0219E+03  3.6421E+00  2.0255E+03  0.000E+00  3.859E+00
3.434143E-01  1.70858E+01  5.3640E+00  2.8952E+03  3.9846E+00  2.8992E+03  0.000E+00  3.610E+00
3.671099E-01  1.41668E+01  8.8327E+00  4.4596E+03  4.3430E+00  4.4639E+03  0.000E+00  3.377E+00
3.924405E-01  1.22832E+01  1.3853E+01  6.5428E+03  4.7160E+00  6.5475E+03  0.000E+00  3.159E+00
4.195189E-01  1.21882E+01  1.9787E+01  8.7423E+03  5.1021E+00  8.7474E+03  0.000E+00  2.955E+00
4.484657E-01  1.41098E+01  2.5675E+01  1.0612E+04  5.4995E+00  1.0618E+04  0.000E+00  2.765E+00
4.794098E-01  1.77163E+01  3.0651E+01  1.1851E+04  5.9063E+00  1.1857E+04  0.000E+00  2.586E+00
5.124891E-01  2.23409E+01  3.4206E+01  1.2371E+04  6.3204E+00  1.2377E+04  0.000E+00  2.419E+00
5.478508E-01  2.72355E+01  3.6224E+01  1.2256E+04  6.7394E+00  1.2263E+04  0.000E+00  2.263E+00
5.856525E-01  3.16964E+01  3.6870E+01  1.1669E+04  7.1607E+00  1.1676E+04  0.000E+00  2.117E+00
6.242600E-01  3.44780E+01  3.6478E+01  1.0831E+04  7.5634E+00  1.0839E+04  0.000E+00  1.986E+00
6.260625E-01  3.44934E+01  3.6442E+01  1.0789E+04  7.5816E+00  1.0797E+04  0.000E+00  1.980E+00
6.338150E-01  3.39618E+01  3.6272E+01  1.0607E+04  7.6590E+00  1.0615E+04  0.000E+00  1.956E+00
6.363630E-01  3.26056E+01  3.6211E+01  1.0547E+04  7.6842E+00  1.0555E+04  0.000E+00  1.948E+00
6.401850E-01  3.44394E+01  3.9169E+01  1.1341E+04  7.7217E+00  1.1349E+04  0.000E+00  1.937E+00
6.497400E-01  3.64485E+01  3.8978E+01  1.1119E+04  7.8146E+00  1.1127E+04  0.000E+00  1.908E+00
6.614020E-01  3.77142E+01  3.8711E+01  1.0849E+04  7.9257E+00  1.0857E+04  0.000E+00  1.875E+00
6.692609E-01  3.81102E+01  3.8515E+01  1.0667E+04  7.9993E+00  1.0675E+04  0.000E+00  1.853E+00
6.715255E-01  3.80509E+01  3.8456E+01  1.0615E+04  8.0203E+00  1.0623E+04  0.000E+00  1.846E+00
6.742251E-01  3.73808E+01  3.8385E+01  1.0553E+04  8.0452E+00  1.0561E+04  0.000E+00  1.839E+00
6.782745E-01  3.87307E+01  4.0142E+01  1.0970E+04  8.0824E+00  1.0978E+04  0.000E+00  1.828E+00
6.883980E-01  4.05137E+01  3.9903E+01  1.0744E+04  8.1741E+00  1.0752E+04  0.000E+00  1.801E+00
7.154399E-01  4.34555E+01  3.9208E+01  1.0158E+04  8.4109E+00  1.0166E+04  0.000E+00  1.733E+00
7.648052E-01  4.73026E+01  3.7788E+01  9.1579E+03  8.8135E+00  9.1667E+03  0.000E+00  1.621E+00
8.175768E-01  5.02573E+01  3.6177E+01  8.2016E+03  9.2041E+00  8.2108E+03  0.000E+00  1.516E+00
8.722000E-01  5.20189E+01  3.4545E+01  7.3412E+03  9.5685E+00  7.3508E+03  0.000E+00  1.422E+00
8.739896E-01  5.20255E+01  3.4492E+01  7.3150E+03  9.5798E+00  7.3246E+03  0.000E+00  1.419E+00
8.855500E-01  5.16809E+01  3.4156E+01  7.1492E+03  9.6517E+00  7.1589E+03  0.000E+00  1.400E+00
8.891100E-01  5.07262E+01  3.4053E+01  7.0991E+03  9.6736E+00  7.1088E+03  0.000E+00  1.394E+00
8.944500E-01  5.20499E+01  3.6056E+01  7.4718E+03  9.7060E+00  7.4815E+03  0.000E+00  1.386E+00
9.078000E-01  5.35344E+01  3.5683E+01  7.2856E+03  9.7857E+00  7.2954E+03  0.000E+00  1.366E+00
9.342948E-01  5.51792E+01  3.4963E+01  6.9363E+03  9.9376E+00  6.9462E+03  0.000E+00  1.327E+00
9.987612E-01  5.79642E+01  3.3342E+01  6.1878E+03  1.0275E+01  6.1981E+03  0.000E+00  1.241E+00
1.058400E+00  5.98671E+01  3.1785E+01  5.5664E+03  1.0549E+01  5.5769E+03  0.000E+00  1.171E+00
1.067676E+00  6.00719E+01  3.1553E+01  5.4778E+03  1.0589E+01  5.4884E+03  0.000E+00  1.161E+00
1.074600E+00  6.01619E+01  3.1382E+01  5.4129E+03  1.0618E+01  5.4235E+03  0.000E+00  1.154E+00
1.078920E+00  6.00566E+01  3.1271E+01  5.3721E+03  1.0636E+01  5.3827E+03  0.000E+00  1.149E+00
1.085400E+00  6.04900E+01  3.1556E+01  5.3888E+03  1.0663E+01  5.3995E+03  0.000E+00  1.142E+00
1.101600E+00  6.11428E+01  3.1128E+01  5.2375E+03  1.0728E+01  5.2482E+03  0.000E+00  1.125E+00
1.141345E+00  6.22892E+01  3.0123E+01  4.8920E+03  1.0877E+01  4.9029E+03  0.000E+00  1.086E+00
1.220098E+00  6.39498E+01  2.8075E+01  4.2651E+03  1.1138E+01  4.2762E+03  0.000E+00  1.016E+00
1.243620E+00  6.42609E+01  2.7421E+01  4.0869E+03  1.1207E+01  4.0981E+03  0.000E+00  9.970E-01
1.262655E+00  6.43257E+01  2.6915E+01  3.9510E+03  1.1260E+01  3.9623E+03  0.000E+00  9.819E-01
