
   Eu:    Z = 63;   Atomic weight = 151.9600 g/mol ;    nominal density:   [INLINE] = 5.2280E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.52336E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.76917E+05
          18 edges. Edge energies (keV):
          

  K      4.85190E+01  L I    8.05200E+00  L II   7.61710E+00  L III  6.97690E+00
  M I    1.80000E+00  M II   1.61390E+00  M III  1.48060E+00  M IV   1.16060E+00
  M V    1.13090E+00  N I    3.60200E-01  N II   2.83900E-01  N III  2.56600E-01
  N IV   1.33200E-01  N V    1.33200E-01  N VI   2.91151E-03  O I    3.18000E-02
  O II   2.20000E-02  O III  2.20000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -9.5641E-01, -5.7720E-01 e/atom
          Nuclear Thomson correction fNT = -1.4328E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=63, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
9.041995E-02  2.05260E+01  5.5518E+00  1.7003E+04  3.5518E-01  1.7003E+04  0.000E+00  1.371E+01
9.665893E-02  2.06028E+01  5.5743E+00  1.5970E+04  4.1455E-01  1.5970E+04  0.000E+00  1.283E+01
1.033284E-01  2.05930E+01  5.5782E+00  1.4950E+04  4.8182E-01  1.4950E+04  0.000E+00  1.200E+01
1.104581E-01  2.04181E+01  5.5623E+00  1.3945E+04  5.5768E-01  1.3946E+04  0.000E+00  1.122E+01
1.180797E-01  1.98690E+01  5.5260E+00  1.2959E+04  6.4283E-01  1.2960E+04  0.000E+00  1.050E+01
1.262272E-01  1.80575E+01  5.4691E+00  1.1998E+04  7.3795E-01  1.1999E+04  0.000E+00  9.822E+00
1.305360E-01  1.46390E+01  5.4328E+00  1.1525E+04  7.8978E-01  1.1526E+04  0.000E+00  9.498E+00
1.325340E-01  8.01763E+00  5.4147E+00  1.1314E+04  8.1414E-01  1.1315E+04  0.000E+00  9.355E+00
1.330668E-01 -1.13543E+00  5.4098E+00  1.1258E+04  8.2068E-01  1.1259E+04  0.000E+00  9.317E+00
1.338660E-01  1.05268E+01  2.3923E+01  4.9488E+04  8.3050E-01  4.9489E+04  0.000E+00  9.262E+00
1.349368E-01  1.74020E+01  2.2132E+01  4.5419E+04  8.4371E-01  4.5420E+04  0.000E+00  9.188E+00
1.358640E-01  2.04294E+01  2.0730E+01  4.2251E+04  8.5519E-01  4.2252E+04  0.000E+00  9.126E+00
1.442475E-01  2.75121E+01  1.2474E+01  2.3947E+04  9.6073E-01  2.3948E+04  0.000E+00  8.595E+00
1.542005E-01  2.73781E+01  8.5138E+00  1.5289E+04  1.0896E+00  1.5290E+04  0.000E+00  8.040E+00
1.648404E-01  2.66914E+01  7.0192E+00  1.1792E+04  1.2309E+00  1.1793E+04  0.000E+00  7.521E+00
1.762144E-01  2.62035E+01  6.3220E+00  9.9349E+03  1.3850E+00  9.9363E+03  0.000E+00  7.036E+00
1.883732E-01  2.58617E+01  5.9356E+00  8.7256E+03  1.5523E+00  8.7272E+03  0.000E+00  6.582E+00
2.013709E-01  2.55896E+01  5.6981E+00  7.8358E+03  1.7331E+00  7.8375E+03  0.000E+00  6.157E+00
2.152655E-01  2.53303E+01  5.5501E+00  7.1397E+03  1.9275E+00  7.1416E+03  0.000E+00  5.760E+00
2.301188E-01  2.50291E+01  5.4699E+00  6.5823E+03  2.1355E+00  6.5844E+03  0.000E+00  5.388E+00
2.459970E-01  2.45567E+01  5.4503E+00  6.1353E+03  2.3570E+00  6.1377E+03  0.000E+00  5.040E+00
2.514680E-01  2.42481E+01  5.4568E+00  6.0090E+03  2.4329E+00  6.0114E+03  0.000E+00  4.930E+00
2.553170E-01  2.37259E+01  5.4650E+00  5.9273E+03  2.4862E+00  5.9298E+03  0.000E+00  4.856E+00
2.563434E-01  2.31592E+01  5.4677E+00  5.9065E+03  2.5004E+00  5.9090E+03  0.000E+00  4.837E+00
2.578830E-01  2.36897E+01  6.5544E+00  7.0382E+03  2.5216E+00  7.0407E+03  0.000E+00  4.808E+00
2.617320E-01  2.41170E+01  6.5797E+00  6.9614E+03  2.5747E+00  6.9640E+03  0.000E+00  4.737E+00
2.629708E-01  2.41759E+01  6.5883E+00  6.9377E+03  2.5917E+00  6.9403E+03  0.000E+00  4.715E+00
2.782220E-01  2.43635E+01  6.7153E+00  6.6838E+03  2.7999E+00  6.6866E+03  0.000E+00  4.456E+00
2.811158E-01  2.43159E+01  6.7432E+00  6.6425E+03  2.8391E+00  6.6453E+03  0.000E+00  4.410E+00
2.824805E-01  2.42559E+01  6.7567E+00  6.6236E+03  2.8576E+00  6.6265E+03  0.000E+00  4.389E+00
2.836161E-01  2.40941E+01  6.7681E+00  6.6083E+03  2.8729E+00  6.6112E+03  0.000E+00  4.372E+00
2.853195E-01  2.42760E+01  7.1196E+00  6.9100E+03  2.8958E+00  6.9129E+03  0.000E+00  4.345E+00
2.895780E-01  2.44513E+01  7.1693E+00  6.8559E+03  2.9530E+00  6.8589E+03  0.000E+00  4.282E+00
3.005128E-01  2.46278E+01  7.3042E+00  6.7307E+03  3.0987E+00  6.7338E+03  0.000E+00  4.126E+00
3.212482E-01  2.48099E+01  7.5801E+00  6.5341E+03  3.3696E+00  6.5375E+03  0.000E+00  3.859E+00
3.434143E-01  2.49173E+01  7.8865E+00  6.3594E+03  3.6508E+00  6.3631E+03  0.000E+00  3.610E+00
3.529960E-01  2.48860E+01  8.0176E+00  6.2896E+03  3.7696E+00  6.2934E+03  0.000E+00  3.512E+00
3.583990E-01  2.47172E+01  8.0903E+00  6.2510E+03  3.8357E+00  6.2548E+03  0.000E+00  3.459E+00
3.598398E-01  2.44650E+01  8.1096E+00  6.2408E+03  3.8533E+00  6.2447E+03  0.000E+00  3.446E+00
3.620010E-01  2.47584E+01  8.6637E+00  6.6274E+03  3.8795E+00  6.6313E+03  0.000E+00  3.425E+00
3.671099E-01  2.50440E+01  8.7338E+00  6.5880E+03  3.9412E+00  6.5919E+03  0.000E+00  3.377E+00
3.674040E-01  2.50546E+01  8.7378E+00  6.5858E+03  3.9448E+00  6.5897E+03  0.000E+00  3.375E+00
3.924405E-01  2.56283E+01  9.0598E+00  6.3929E+03  4.2396E+00  6.3971E+03  0.000E+00  3.159E+00
4.195189E-01  2.60851E+01  9.3558E+00  6.1756E+03  4.5443E+00  6.1801E+03  0.000E+00  2.955E+00
4.484657E-01  2.65623E+01  9.5996E+00  5.9275E+03  4.8538E+00  5.9324E+03  0.000E+00  2.765E+00
4.794098E-01  2.70359E+01  9.7772E+00  5.6475E+03  5.1663E+00  5.6527E+03  0.000E+00  2.586E+00
5.124891E-01  2.74868E+01  9.8789E+00  5.3379E+03  5.4798E+00  5.3434E+03  0.000E+00  2.419E+00
5.478508E-01  2.78899E+01  9.8991E+00  5.0036E+03  5.7925E+00  5.0094E+03  0.000E+00  2.263E+00
5.856525E-01  2.82087E+01  9.8292E+00  4.6476E+03  6.1023E+00  4.6537E+03  0.000E+00  2.117E+00
6.260625E-01  2.83979E+01  9.6779E+00  4.2807E+03  6.4069E+00  4.2871E+03  0.000E+00  1.980E+00
6.692609E-01  2.84105E+01  9.4604E+00  3.9144E+03  6.7044E+00  3.9211E+03  0.000E+00  1.853E+00
7.154399E-01  2.81906E+01  9.1926E+00  3.5581E+03  6.9924E+00  3.5651E+03  0.000E+00  1.733E+00
7.648052E-01  2.76594E+01  8.8889E+00  3.2184E+03  7.2689E+00  3.2257E+03  0.000E+00  1.621E+00
8.175768E-01  2.66949E+01  8.5621E+00  2.9000E+03  7.5318E+00  2.9075E+03  0.000E+00  1.516E+00
8.739896E-01  2.50563E+01  8.2228E+00  2.6053E+03  7.7792E+00  2.6131E+03  0.000E+00  1.419E+00
9.342948E-01  2.22513E+01  7.8792E+00  2.3353E+03  8.0090E+00  2.3433E+03  0.000E+00  1.327E+00
9.987612E-01  1.70426E+01  7.5375E+00  2.0898E+03  8.2196E+00  2.0980E+03  0.000E+00  1.241E+00
1.067676E+00  3.06861E+00  7.0155E+00  1.8196E+03  8.4094E+00  1.8280E+03  0.000E+00  1.161E+00
