
   Nd:    Z = 60;   Atomic weight = 144.2400 g/mol ;    nominal density:   [INLINE] = 6.9940E+00 g/cm3
          µa(barns/atom) = µ(cm2/g)  ×  2.39516E+02
          E(eV) µ(cm2/g) = f2(e/atom)  ×  2.91738E+05
          18 edges. Edge energies (keV):
          

  K      4.35689E+01  L I    7.12600E+00  L II   6.72150E+00  L III  6.20790E+00
  M I    1.57530E+00  M II   1.40280E+00  M III  1.29740E+00  M IV   9.99500E-01
  M V    9.77700E-01  N I    3.15200E-01  N II   2.43300E-01  N III  2.24600E-01
  N IV   1.17500E-01  N V    1.17500E-01  N VI   3.00000E-03  O I    3.75000E-02
  O II   2.11000E-02  O III  2.11000E-02

          Relativistic correction estimate frel (H82,3/5CL) = -8.4384E-01, -5.1240E-01 e/atom
          Nuclear Thomson correction fNT = -1.3692E-02 e/atom
     _________________________________________________________________________________________________________
   
   Form Factors, Attenuation and Scattering Cross-sections
   Z=60, E = 0.001 - 1000 keV

                                                              Attenuation
     E         f1            f2          µ           [INLINE] (coh+inc) Coefficient    µK       wavelength
     keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
9.041995E-02  1.98321E+01  4.2412E+00  1.3684E+04  3.2245E-01  1.3684E+04  0.000E+00  1.371E+01
9.665893E-02  1.94554E+01  4.1888E+00  1.2643E+04  3.7707E-01  1.2643E+04  0.000E+00  1.283E+01
1.033284E-01  1.86179E+01  4.1227E+00  1.1640E+04  4.3906E-01  1.1640E+04  0.000E+00  1.200E+01
1.104581E-01  1.63228E+01  4.0431E+00  1.0678E+04  5.0909E-01  1.0679E+04  0.000E+00  1.122E+01
1.151500E-01  1.08584E+01  3.9868E+00  1.0101E+04  5.5712E-01  1.0102E+04  0.000E+00  1.077E+01
1.169125E-01  1.31965E+00  3.9651E+00  9.8943E+03  5.7553E-01  9.8949E+03  0.000E+00  1.060E+01
1.173825E-01 -1.19843E+01  3.9593E+00  9.8402E+03  5.8047E-01  9.8408E+03  0.000E+00  1.056E+01
1.180797E-01  5.11961E+00  3.0904E+01  7.6354E+04  5.8783E-01  7.6355E+04  0.000E+00  1.050E+01
1.180875E-01  5.25916E+00  3.0878E+01  7.6286E+04  5.8791E-01  7.6287E+04  0.000E+00  1.050E+01
1.198500E-01  1.96923E+01  2.5752E+01  6.2686E+04  6.0665E-01  6.2687E+04  0.000E+00  1.034E+01
1.262272E-01  2.88455E+01  1.4307E+01  3.3067E+04  6.7594E-01  3.3068E+04  0.000E+00  9.822E+00
1.349368E-01  2.83898E+01  8.0427E+00  1.7389E+04  7.7405E-01  1.7390E+04  0.000E+00  9.188E+00
1.442475E-01  2.70569E+01  5.8952E+00  1.1923E+04  8.8278E-01  1.1924E+04  0.000E+00  8.595E+00
1.542005E-01  2.61421E+01  4.9868E+00  9.4348E+03  1.0027E+00  9.4358E+03  0.000E+00  8.040E+00
1.648404E-01  2.55119E+01  4.5231E+00  8.0051E+03  1.1343E+00  8.0062E+03  0.000E+00  7.521E+00
1.762144E-01  2.50299E+01  4.2565E+00  7.0470E+03  1.2781E+00  7.0483E+03  0.000E+00  7.036E+00
1.883732E-01  2.46076E+01  4.0991E+00  6.3484E+03  1.4344E+00  6.3498E+03  0.000E+00  6.582E+00
2.013709E-01  2.41738E+01  4.0177E+00  5.8207E+03  1.6035E+00  5.8223E+03  0.000E+00  6.157E+00
2.152655E-01  2.35954E+01  4.0005E+00  5.4216E+03  1.7855E+00  5.4234E+03  0.000E+00  5.760E+00
2.201080E-01  2.32599E+01  4.0083E+00  5.3128E+03  1.8491E+00  5.3146E+03  0.000E+00  5.633E+00
2.234770E-01  2.27420E+01  4.0175E+00  5.2447E+03  1.8934E+00  5.2466E+03  0.000E+00  5.548E+00
2.243754E-01  2.22063E+01  4.0205E+00  5.2275E+03  1.9052E+00  5.2294E+03  0.000E+00  5.526E+00
2.257230E-01  2.26865E+01  5.0321E+00  6.5038E+03  1.9229E+00  6.5057E+03  0.000E+00  5.493E+00
2.290920E-01  2.30505E+01  5.0579E+00  6.4410E+03  1.9671E+00  6.4430E+03  0.000E+00  5.412E+00
2.301188E-01  2.30922E+01  5.0663E+00  6.4229E+03  1.9805E+00  6.4249E+03  0.000E+00  5.388E+00
2.384340E-01  2.31601E+01  5.1428E+00  6.2926E+03  2.0895E+00  6.2947E+03  0.000E+00  5.200E+00
2.420835E-01  2.30404E+01  5.1810E+00  6.2437E+03  2.1373E+00  6.2458E+03  0.000E+00  5.122E+00
