XDAC V1.4 Datafile V1
"MMCBr1_100.002" created on 11/18/2012 at 9:48:15 PM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 13474.00
NUM_REGIONS= 6
SRB= -100 -30 -15 10 30 50 200
SRSS= 5 .5 .25 .5 1 5
SPP= 1 1 1 1 1 1
Settling time= 0.20


Offsets= 110.75 66.00 0.00 0.00 0.00 0.00 0.00 9.50 6.00 15.00 0.00 12.75 5.75 12.25 88.75 0.00
Gains= 8.00 8.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 8.00 1.00
oaks + Fe + Br- + H2O2 rinsed a lot


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
   13448.49966    24638.2500    11525.0000     3153.0000    37595.0000     3210.0000     3422.0000   154723.0000   192414.5000   189111.0000   182637.0000   191350.0000   213929.2500   208083.2500   202628.7500    16606.2500        1.0000
   13448.99880    24679.2500    11546.0000     3173.0000    37560.0000     3231.0000     3455.0000   155600.0000   192758.5000   189722.0000   183293.0000   192218.0000   214846.2500   208482.2500   203297.7500    16635.2500        1.0000
   13449.49794    24694.2500    11553.0000     3135.0000    38198.0000     3206.0000     3332.0000   155626.0000   193383.5000   189680.0000   182917.0000   191881.0000   214831.2500   208793.2500   203028.7500    16646.2500        1.0000
   13449.99708    24681.2500    11549.0000     3118.0000    37940.0000     3206.0000     3416.0000   155291.0000   193871.5000   189429.0000   182574.0000   191945.0000   215468.2500   208264.2500   202421.7500    16643.2500        1.0000
   13450.50289    24671.2500    11544.0000     3173.0000    37866.0000     3182.0000     3417.0000   155538.0000   192759.5000   189209.0000   182922.0000   192387.0000   214537.2500   208016.2500   202861.7500    16639.2500        1.0000
   13451.00204    24660.2500    11540.0000     3199.0000    37962.0000     3249.0000     3389.0000   154619.0000   192314.5000   189453.0000   182728.0000   190960.0000   213723.2500   208366.2500   202882.7500    16636.2500        1.0000
   13451.50120    24681.2500    11550.0000     3146.0000    38275.0000     3261.0000     3375.0000   155634.0000   193005.5000   189646.0000   182700.0000   191902.0000   214483.2500   208676.2500   202717.7500    16651.2500        1.0000
   13452.00036    24676.2500    11547.0000     3192.0000    38002.0000     3274.0000     3525.0000   154994.0000   192975.5000   189232.0000   183246.0000   191529.0000   214744.2500   208359.2500   203321.7500    16646.2500        1.0000
   13452.49953    24665.2500    11542.0000     3243.0000    38255.0000     3259.0000     3456.0000   155373.0000   192862.5000   189310.0000   182992.0000   191315.0000   214538.2500   208219.2500   203264.7500    16639.2500        1.0000
   13452.99870    24664.2500    11544.0000     3090.0000    38078.0000     3305.0000     3440.0000   155472.0000   193156.5000   189689.0000   182858.0000   192312.0000   214707.2500   208685.2500   202902.7500    16643.2500        1.0000
