XDAC V1.4 Datafile V1
"cu_kmdg1.020" created on 6/22/2012 at 5:46:29 AM on X-23A2
Diffraction element= Si (311).  Ring energy= 2.80 GeV
E0= 8979.00
NUM_REGIONS= 4
SRB= -200 -30 30 60 13k
SRSS= 10 0.5 0.05k 0.05k
SPP= 1 1 1 0.25k
Settling time= 0.20


Offsets= 115.00 54.25 0.00 0.00 0.00 0.00 10.50 5.25 5.25 5.25 12.25 10.75 5.25 10.50 98.00 0.00
Gains= 8.00 9.00 0.00 0.00 0.00 0.00 0.00 8.00 8.00 8.00 0.00 8.00 8.00 8.00 10.00 1.00
Green glass KMDG1


--------------------------------------------------------------------------------
        Energy            I0            It         Ifch1         Ifch2         Ifch3         Ifch4       Ifslow1       Ifslow2       Ifslow3       Ifslow4       Iffast1       Iffast2       Iffast3       Iffast4          Iref       IntTime
    8954.50003     4732.0000        3.7500     1099.0000      992.0000      755.0000      858.0000    80054.5000    73287.7500    57323.7500    63599.7500    83225.7500    75676.2500    58750.7500    65480.5000        2.0000        1.0000
    8954.99976     4725.0000        2.7500     1085.0000      958.0000      712.0000      874.0000    80409.5000    73177.7500    56899.7500    63768.7500    83310.7500    75676.2500    58337.7500    65581.5000        1.0000        1.0000
    8955.49952     4741.0000        3.7500     1069.0000     1051.0000      739.0000      841.0000    79933.5000    73873.7500    57621.7500    63981.7500    82877.7500    76391.2500    59120.7500    65711.5000        2.0000        1.0000
    8955.99929     4727.0000        2.7500     1049.0000     1025.0000      744.0000      780.0000    80131.5000    72989.7500    57143.7500    63661.7500    83120.7500    75441.2500    58634.7500    65322.5000        1.0000        1.0000
    8956.49907     4739.0000        2.7500     1165.0000     1090.0000      776.0000      860.0000    80126.5000    73639.7500    57343.7500    63894.7500    83198.7500    76198.2500    58835.7500    65695.5000        1.0000        1.0000
    8956.99888     4727.0000        2.7500     1080.0000     1071.0000      747.0000      871.0000    80246.5000    73130.7500    56860.7500    63901.7500    83322.7500    75670.2500    58315.7500    65674.5000        1.0000        1.0000
    8957.49871     4715.0000        2.7500     1145.0000     1076.0000      761.0000      888.0000    80271.5000    73403.7500    56783.7500    63863.7500    83293.7500    75980.2500    58299.7500    65650.5000        1.0000        1.0000
    8957.99855     4733.0000        2.7500     1183.0000     1047.0000      810.0000      878.0000    80253.5000    73522.7500    57114.7500    63986.7500    83370.7500    75972.2500    58540.7500    65856.5000        1.0000        1.0000
    8958.49841     4725.0000        2.7500     1149.0000     1016.0000      780.0000      943.0000    80010.5000    73381.7500    57229.7500    64205.7500    83008.7500    75802.2500    58688.7500    66008.5000        2.0000        1.0000
    8958.99829     4737.0000        3.7500     1142.0000     1059.0000      797.0000      927.0000    80014.5000    73427.7500    57143.7500    64040.7500    83145.7500    75858.2500    58600.7500    65854.5000        2.0000        1.0000
    8959.49818     4733.0000        2.7500     1198.0000     1166.0000      831.0000      928.0000    80258.5000    73000.7500    57271.7500    63962.7500    83271.7500    75501.2500    58683.7500    65695.5000        2.0000        1.0000
    8959.99810     4720.0000        3.7500     1220.0000     1116.0000      857.0000      858.0000    80833.5000    73468.7500    57103.7500    64199.7500    83843.7500    75918.2500    58632.7500    66002.5000        2.0000        1.0000
    8960.49803     4730.0000        3.7500     1327.0000     1136.0000      850.0000      956.0000    80398.5000    73301.7500    57458.7500    64247.7500    83531.7500    75700.2500    58787.7500    66071.5000        1.0000        1.0000
    8960.99798     4733.0000        2.7500     1259.0000     1166.0000      825.0000      977.0000    80339.5000    74076.7500    57049.7500    64479.7500    83325.7500    76526.2500    58584.7500    66321.5000        1.0000        1.0000
    8961.49795     4739.0000        3.7500     1306.0000     1170.0000      856.0000      987.0000    80773.5000    73695.7500    57722.7500    64159.7500    83871.7500    76119.2500    59206.7500    66055.5000        2.0000        1.0000
    8961.99793     4719.0000        2.7500     1305.0000     1241.0000      907.0000      975.0000    79778.5000    73098.7500    57095.7500    64319.7500    82828.7500    75630.2500    58482.7500    66105.5000        1.0000        1.0000
    8962.49793     4718.0000        3.7500     1369.0000     1210.0000      954.0000     1047.0000    80789.5000    73381.7500    57207.7500    64279.7500    83844.7500    75783.2500    58720.7500    66126.5000        1.0000        1.0000
    8962.99796     4727.0000        2.7500     1320.0000     1216.0000      871.0000     1056.0000    80598.5000    73783.7500    57082.7500    64173.7500    83705.7500    76245.2500    58503.7500    65992.5000        1.0000        1.0000
    8963.49799     4728.0000        2.7500     1397.0000     1260.0000      881.0000     1003.0000    80446.5000    73482.7500    56946.7500    64440.7500    83506.7500    75939.2500    58406.7500    66319.5000        1.0000        1.0000
    8963.99805     4733.0000        2.7500     1464.0000     1276.0000      929.0000     1035.0000    80651.5000    73454.7500    57223.7500    64154.7500    83773.7500    75913.2500    58649.7500    65957.5000        1.0000        1.0000
    8964.49813     4728.0000        2.7500     1446.0000     1271.0000      921.0000     1131.0000    80746.5000    73295.7500    57436.7500    64519.7500    83761.7500    75700.2500    58958.7500    66349.5000        1.0000        1.0000
    8964.99822     4726.0000        3.7500     1523.0000     1275.0000      972.0000     1134.0000    80807.5000    73763.7500    57382.7500    64658.7500    83868.7500    76296.2500    58812.7500    66491.5000        1.0000        1.0000
    8965.49833     4726.0000        2.7500     1467.0000     1300.0000     1015.0000     1121.0000    80572.5000    73744.7500    57461.7500    64316.7500    83561.7500    76191.2500    58875.7500    66208.5000        1.0000        1.0000
    8965.99846     4722.0000        3.7500     1526.0000     1395.0000     1011.0000     1130.0000    80004.5000    74216.7500    57123.7500    64367.7500    82937.7500    76662.2500    58511.7500    66085.5000        1.0000        1.0000
    8966.49860     4732.0000        2.7500     1552.0000     1470.0000     1009.0000     1186.0000    80559.5000    73934.7500    57154.7500    64393.7500    83536.7500    76431.2500    58567.7500    66292.5000        1.0000        1.0000
    8966.99877     4734.0000        2.7500     1551.0000     1468.0000     1001.0000     1243.0000    81046.5000    73946.7500    57243.7500    64901.7500    84166.7500    76390.2500    58606.7500    66876.5000        1.0000        1.0000
    8967.49895     4730.0000        3.7500     1624.0000     1425.0000     1098.0000     1252.0000    81176.5000    74330.7500    57378.7500    64471.7500    84302.7500    76871.2500    58876.7500    66290.5000        1.0000        1.0000
    8967.99915     4723.0000        3.7500     1626.0000     1468.0000     1091.0000     1304.0000    80683.5000    73801.7500    57249.7500    64336.7500    83745.7500    76345.2500    58724.7500    66148.5000        1.0000        1.0000
    8968.49937     4716.0000        3.7500     1682.0000     1457.0000     1076.0000     1337.0000    80670.5000    73668.7500    57938.7500    64608.7500    83713.7500    76126.2500    59431.7500    66382.5000        1.0000        1.0000
    8968.99960     4722.0000        3.7500     1715.0000     1529.0000     1143.0000     1336.0000    80798.5000    74064.7500    57264.7500    64371.7500    83845.7500    76603.2500    58731.7500    66191.5000        2.0000        1.0000
    8969.49985     4729.0000        3.7500     1788.0000     1604.0000     1151.0000     1349.0000    81091.5000    74222.7500    57435.7500    64202.7500    84170.7500    76815.2500    58966.7500    66033.5000        1.0000        1.0000
    8970.00012     4728.0000        3.7500     1843.0000     1688.0000     1244.0000     1442.0000    81448.5000    74791.7500    57796.7500    64822.7500    84639.7500    77268.2500    59340.7500    66625.5000        2.0000        1.0000
    8970.50041     4717.0000        3.7500     1877.0000     1674.0000     1236.0000     1516.0000    80995.5000    73779.7500    57637.7500    64705.7500    84136.7500    76277.2500    59049.7500    66546.5000        1.0000        1.0000
    8971.00072     4717.0000        2.7500     1869.0000     1703.0000     1212.0000     1464.0000    80662.5000    73653.7500    57660.7500    64425.7500    83694.7500    76138.2500    59117.7500    66271.5000        2.0000        1.0000
    8971.50104     4716.0000        2.7500     1918.0000     1755.0000     1281.0000     1575.0000    80947.5000    73679.7500    57224.7500    64738.7500    84056.7500    76178.2500    58672.7500    66514.5000        1.0000        1.0000
